threads,ops,throughput,get_avg,get_p50,get_p99,get_p999,put_avg,put_p50,put_p99,put_p999
1,137220,68599,1116557,31689,50725,156073,0,0,0,0
12,14789949,6994805,48679,38772,76674,4041865,0,0,0,0
12,15288083,7570079,50272,37390,77566,4044640,0,0,0,0
12,15287545,7574455,50796,37530,78157,4044560,0,0,0,0
12,15220288,7543266,51337,38473,77676,4046053,0,0,0,0
12,15209213,7538250,50415,38552,77927,4043788,0,0,0,0
12,15207397,7536284,49752,38602,77745,4039631,0,0,0,0
12,15184251,7527826,50564,38712,78106,4044589,0,0,0,0
12,15177296,7522512,50663,38743,78197,4043758,0,0,0,0
12,15166649,7516320,51220,38913,78427,4044980,0,0,0,0
12,15162510,7517350,50893,38953,77937,4044370,0,0,0,0
12,15161309,7515354,51112,39033,78758,4046153,0,0,0,0
12,15147580,7507015,51428,39334,77716,4044961,0,0,0,0
12,15073683,7473141,51334,39744,78037,4044991,0,0,0,0
12,15051832,7461271,50776,39714,78317,4041804,0,0,0,0
12,15083499,7475667,51547,39524,78357,4047024,0,0,0,0
12,15063160,7467739,50419,39715,78167,4041674,0,0,0,0
12,15078403,7474424,51742,39754,78256,4046834,0,0,0,0
12,15085185,7476563,50635,39605,78487,4043427,0,0,0,0
12,15086894,7479993,51332,39614,78488,4046233,0,0,0,0
12,15077028,7473683,50863,39785,77986,4044540,0,0,0,0
12,15081955,7474782,51396,39594,78277,4044630,0,0,0,0
12,15074397,7473678,50980,39764,78007,4046092,0,0,0,0
12,15097831,7484042,51008,39674,77856,4044700,0,0,0,0
12,15106471,7486867,49998,39624,77927,4039490,0,0,0,0
12,15099029,7486025,51639,39584,78177,4048488,0,0,0,0
12,15112631,7491461,51212,39504,78197,4045061,0,0,0,0
12,15146471,7506622,50612,39344,77536,4045632,0,0,0,0
12,15181105,7526378,51440,39083,77395,4046454,0,0,0,0
12,15196537,7532346,50752,38221,77215,4045442,0,0,0,0
12,10542210,5224353,28346,21580,58200,3925176,0,0,0,0
2,124597,61949,7541,7133,13075,15780,0,0,0,0
