threads,ops,throughput,get_avg,get_p50,get_p99,get_p999,put_avg,put_p50,put_p99,put_p999
12,1558913,764263,0,0,0,0,780753,320331,1536424,17313069
12,1720745,859462,0,0,0,0,447714,332764,1584564,8366891
12,1712797,855525,0,0,0,0,467825,334528,1561110,10052164
12,1698044,848236,0,0,0,0,482861,339397,1631151,32485741
12,1707712,853032,0,0,0,0,444138,336321,1581478,6254306
12,1685985,842138,0,0,0,0,460772,332068,1601856,9701596
12,1675890,837177,0,0,0,0,447328,335740,1591096,8267775
12,1696800,847590,0,0,0,0,468207,338044,1631612,8594328
12,1679329,838822,0,0,0,0,436689,344707,1616985,7927857
12,1664775,831627,0,0,0,0,462311,341130,1664974,9910328
12,1675093,836748,0,0,0,0,436629,335920,1557883,8151096
12,1660326,829326,0,0,0,0,450473,335850,1750555,8235875
12,1657290,827898,0,0,0,0,462858,342042,1648533,8309423
12,1674755,836585,0,0,0,0,438239,337177,1603199,8227249
12,1673357,835845,0,0,0,0,450641,342794,1600353,8090542
12,1673121,835799,0,0,0,0,451235,340408,1683739,8124987
12,1698417,848399,0,0,0,0,448676,340043,1523469,8230155
12,1651805,825068,0,0,0,0,444745,341430,1601897,8243770
12,1658117,828313,0,0,0,0,488203,350593,1666107,8709694
12,1671726,835071,0,0,0,0,453400,350077,1553756,7513529
12,1649365,823857,0,0,0,0,462512,350157,1598950,8280970
12,1640763,819646,0,0,0,0,458154,346821,1663441,8188476
12,1645291,821875,0,0,0,0,466407,344947,1698307,8265781
12,1659602,828997,0,0,0,0,462255,345999,1534400,8340952
12,1633549,816041,0,0,0,0,447310,344917,1661427,8070114
12,1639070,818770,0,0,0,0,468023,346279,1672709,9242504
12,1654714,826544,0,0,0,0,448324,350228,1594141,8081866
12,1659498,829002,0,0,0,0,455444,350588,1605813,8155615
12,1641636,820040,0,0,0,0,439709,341075,1655166,8268215
12,1663806,831085,0,0,0,0,335733,212704,1332320,8337185
12,133869,66876,0,0,0,0,144698,51958,1172080,14388010
