threads,ops,throughput,get_avg,get_p50,get_p99,get_p999,put_avg,put_p50,put_p99,put_p999
12,1474430,737087,460925,404531,1403699,2060084,0,0,0,0
12,1624910,811610,474906,416723,1441501,1930340,0,0,0,0
12,1625793,811987,473360,416623,1384935,1967219,0,0,0,0
12,1623935,811160,470618,415591,1380817,1980334,0,0,0,0
12,1624155,811345,471916,416633,1439808,1970766,0,0,0,0
12,1622703,810580,473822,417656,1449786,1978600,0,0,0,0
12,1623302,810856,472266,415892,1392289,2149573,0,0,0,0
12,1622571,810564,470177,415251,1423968,1989662,0,0,0,0
12,1623909,811191,472129,416874,1448814,1959756,0,0,0,0
12,1622223,810307,477225,416543,1490093,2100550,0,0,0,0
12,1623509,811023,471368,416985,1422856,2150123,0,0,0,0
12,1623612,811040,473318,417054,1334790,1969614,0,0,0,0
12,1624219,811307,471612,415511,1446430,2070023,0,0,0,0
12,1622591,810567,472676,416378,1445508,2041800,0,0,0,0
12,1624246,811344,474158,417149,1454285,1982228,0,0,0,0
12,1623502,810945,474680,417245,1411344,1978330,0,0,0,0
12,1623135,810838,472169,417485,1404781,1998669,0,0,0,0
12,1623664,811066,472201,416945,1418067,1928867,0,0,0,0
12,1623041,810725,476376,417896,1463012,1943986,0,0,0,0
12,1622813,810678,470104,414980,1416834,1943635,0,0,0,0
12,1624320,811389,473415,416032,1459555,1994310,0,0,0,0
12,1622821,810609,474798,417130,1468712,1974353,0,0,0,0
12,1623521,811026,473660,416443,1438595,2124024,0,0,0,0
12,1622956,810710,471635,416043,1361871,2011693,0,0,0,0
12,1624018,811205,470942,415892,1414700,1959495,0,0,0,0
12,1623088,810813,475497,418071,1475094,2193175,0,0,0,0
12,1622109,810275,473109,417325,1339639,2127271,0,0,0,0
12,1623799,811096,475000,417986,1435079,2038834,0,0,0,0
12,1622283,810412,475427,416854,1476978,2014158,0,0,0,0
12,1624250,811347,475250,417846,1385736,1937494,0,0,0,0
12,182492,91153,439828,392017,1532062,1965116,0,0,0,0
