threads,ops,throughput,get_avg,get_p50,get_p99,get_p999,put_avg,put_p50,put_p99,put_p999
12,942247,471028,0,0,0,0,706449,194786,15857967,34690442
12,1080080,539677,0,0,0,0,695829,193793,17422591,35719672
12,1081342,540250,0,0,0,0,737893,194245,17877304,36372737
12,1069872,534576,0,0,0,0,665766,193644,15854050,35271922
12,1082013,540683,0,0,0,0,710471,194835,17357880,34201245
12,901720,450573,0,0,0,0,866407,183033,15683279,25849443
12,1073614,536522,0,0,0,0,696787,191729,16377682,34162182
12,1070875,535111,0,0,0,0,664150,192401,16158711,34615752
12,1083506,541409,0,0,0,0,732623,193273,16478931,34440464
12,1083383,541330,0,0,0,0,710488,192796,17345717,36283519
12,1069860,534607,0,0,0,0,679774,193197,16648870,35383532
12,1066710,533019,0,0,0,0,687719,192781,17289432,34871251
12,1070787,535038,0,0,0,0,639585,193823,15293378,30982319
12,1067206,533285,0,0,0,0,746873,193462,17470360,38481391
12,1059203,529266,0,0,0,0,723492,193778,17634238,36637453
12,1056859,528083,0,0,0,0,739863,194384,16994638,34752759
12,1067324,533345,0,0,0,0,688881,192952,16975072,35083489
12,1084994,542157,0,0,0,0,711050,192962,17069830,36909584
12,1052834,526064,0,0,0,0,710911,193854,16777141,36987670
12,1071595,535481,0,0,0,0,675822,193447,16454526,36473055
12,1063966,531647,0,0,0,0,649621,193083,15942505,36903121
12,1068604,533952,0,0,0,0,714354,193973,17259105,36104744
12,1066148,532755,0,0,0,0,742785,195281,17391382,36477974
12,1076095,537706,0,0,0,0,741452,194465,17683731,35892547
12,1065013,532152,0,0,0,0,679576,193322,15696655,35194948
12,1076155,537758,0,0,0,0,741653,193478,17247222,35643199
12,1064053,531690,0,0,0,0,689789,192692,16226558,34324866
12,1066521,532908,0,0,0,0,712339,194685,16639974,35898227
12,1067643,533502,0,0,0,0,725114,192927,17251300,34378027
12,1075211,537265,0,0,0,0,709650,194760,16429449,33378922
12,135911,67907,0,0,0,0,716300,187471,16786999,28653772
