threads,ops,throughput,get_avg,get_p50,get_p99,get_p999,put_avg,put_p50,put_p99,put_p999
12,9571544,4784907,66096,50455,78256,93244,0,0,0,0
12,14986333,7445668,51336,51567,76693,85029,0,0,0,0
12,15163187,7440600,51463,51546,76694,85831,0,0,0,0
12,15136916,7434648,51894,51216,77606,88917,0,0,0,0
12,15149230,7440690,51368,51767,76774,86061,0,0,0,0
12,15143393,7437812,51390,51407,77124,86603,0,0,0,0
12,15158175,7445110,51483,51557,76724,86272,0,0,0,0
12,15086626,7439160,51414,51136,77055,86592,0,0,0,0
12,15151220,7441667,51449,51467,76754,86002,0,0,0,0
12,15141351,7436817,51486,51477,76875,85650,0,0,0,0
12,15090800,7441232,51304,51526,76714,85781,0,0,0,0
12,15150334,7441238,51327,51487,76804,85811,0,0,0,0
12,15149297,7440728,51514,51416,76784,86182,0,0,0,0
12,15148880,7440505,51255,51316,76774,85811,0,0,0,0
12,15145369,7438805,51201,51386,76794,86152,0,0,0,0
12,15150377,7441261,51386,51431,76864,86683,0,0,0,0
12,15094356,7442989,51499,51516,76613,85921,0,0,0,0
12,15143816,7438019,51384,51266,76874,86983,0,0,0,0
12,15146192,7439211,51483,51607,76734,86442,0,0,0,0
12,15097757,7444657,51215,51216,76824,85711,0,0,0,0
12,15147798,7439979,51610,51416,76864,86913,0,0,0,0
12,15172641,7437563,51300,51496,76634,85160,0,0,0,0
12,15084141,7437974,51466,51276,76924,87104,0,0,0,0
12,15153175,7442624,51447,51367,76824,85861,0,0,0,0
12,15142103,7437187,51628,51306,77005,87053,0,0,0,0
12,15119930,7440941,51272,51166,77014,86572,0,0,0,0
12,15110011,7436026,51687,51246,77034,87494,0,0,0,0
12,15163113,7432897,51360,51207,76994,87384,0,0,0,0
12,15151492,7441814,51369,51446,76885,86833,0,0,0,0
12,12207403,6007405,49544,48200,77184,93465,0,0,0,0
