threads,ops,throughput,get_avg,get_p50,get_p99,get_p999,put_avg,put_p50,put_p99,put_p999
12,2585273,1292349,0,0,0,0,236213,85030,3272243,5889766
12,3831418,1912459,0,0,0,0,200684,86152,3781691,6038726
12,3878181,1934332,0,0,0,0,201892,85255,4020200,5956301
12,3835389,1912914,0,0,0,0,198973,85691,3838579,5964526
12,3823535,1907547,0,0,0,0,203850,86072,3781982,5969425
12,3872244,1931716,0,0,0,0,196262,86342,3763397,5946382
12,3878889,1934788,0,0,0,0,200607,86212,3898973,5858126
12,3875948,1933632,0,0,0,0,199779,86583,3841664,5927567
12,3870114,1930605,0,0,0,0,203279,85240,3922215,5992740
12,3842908,1916842,0,0,0,0,199652,85460,3967080,5918410
12,3885147,1938309,0,0,0,0,199166,84980,3985796,5993331
12,3883341,1937201,0,0,0,0,197719,86854,3773917,5777044
12,3838077,1914431,0,0,0,0,194540,86062,3821366,5991798
12,3889075,1940259,0,0,0,0,195756,86443,3837727,5935842
12,3873101,1932093,0,0,0,0,197282,85881,3785939,5865070
12,3869006,1929832,0,0,0,0,194982,87284,3721899,5848970
12,3869651,1930506,0,0,0,0,194969,85281,3856612,6023879
12,3879470,1935281,0,0,0,0,194406,86252,3785649,5639155
12,3841551,1916163,0,0,0,0,198101,86653,3733932,5802121
12,3871481,1931422,0,0,0,0,203940,85971,3866972,6043465
12,3844575,1917853,0,0,0,0,197555,85872,3855952,5921074
12,3867597,1929209,0,0,0,0,200833,86547,3891648,5939499
12,3855046,1923256,0,0,0,0,200281,86763,3841814,5892271
12,3850045,1920616,0,0,0,0,197470,84820,3781071,5994503
12,3887413,1939028,0,0,0,0,198024,86493,3788104,5772766
12,3845604,1918357,0,0,0,0,198634,86683,3850130,5952153
12,3893115,1942113,0,0,0,0,196127,86322,3849920,5911907
12,3882444,1936554,0,0,0,0,198688,84839,3885447,5943447
12,3840135,1915794,0,0,0,0,200779,85742,3820685,5948476
12,3871056,1931145,0,0,0,0,199187,86744,3902830,5941333
12,833043,415516,0,0,0,0,160019,73122,3683628,7214678
