threads,ops,throughput,get_avg,get_p50,get_p99,get_p999,put_avg,put_p50,put_p99,put_p999
12,13319892,6490803,104924,39605,78388,4049469,0,0,0,0
12,15162384,7513605,51096,38753,78739,4046955,0,0,0,0
12,15194714,7529365,51239,38764,78920,4047876,0,0,0,0
12,15197288,7533147,51472,38634,78499,4048107,0,0,0,0
12,15187352,7528583,51216,38743,78809,4046915,0,0,0,0
12,15205657,7536164,50748,38553,78599,4047195,0,0,0,0
12,15200528,7536216,50664,38673,78869,4046604,0,0,0,0
12,15228763,7549325,49980,38382,78438,4044961,0,0,0,0
12,15265910,7565264,51290,38463,78639,4047505,0,0,0,0
12,15260480,7561485,50585,38252,78458,4046834,0,0,0,0
12,15253938,7560946,50262,38513,78639,4044339,0,0,0,0
12,15247637,7556725,50468,38463,78208,4045812,0,0,0,0
12,15232312,7551722,51089,38643,78549,4046644,0,0,0,0
12,15250832,7559658,49927,38262,78178,4045251,0,0,0,0
12,15272408,7569101,50870,38343,78529,4046434,0,0,0,0
12,15287648,7579207,50426,38142,78027,4045020,0,0,0,0
12,15273177,7570605,50322,38333,78489,4045621,0,0,0,0
12,15269243,7567483,49868,38252,78288,4045842,0,0,0,0
12,15281020,7575813,50747,38393,78458,4046493,0,0,0,0
12,15282497,7575281,50891,38202,78178,4047755,0,0,0,0
12,15297240,7581276,50844,38332,78208,4046954,0,0,0,0
12,15273395,7572135,50910,38092,78158,4047956,0,0,0,0
12,15274582,7571530,51492,38472,78278,4047295,0,0,0,0
12,15281771,7573654,50378,38232,78038,4045762,0,0,0,0
12,15287623,7579133,50712,38342,78288,4047375,0,0,0,0
12,15301755,7584989,50862,38143,77868,4047405,0,0,0,0
12,15309070,7587083,49838,38362,78088,4045081,0,0,0,0
12,15306876,7588545,50404,38092,78008,4046814,0,0,0,0
12,15305790,7586825,50515,38232,78198,4047264,0,0,0,0
12,12029195,5961235,28039,22427,62599,2341725,0,0,0,0
2,162127,80556,9600,8837,15259,20509,0,0,0,0
