threads,ops,throughput,get_avg,get_p50,get_p99,get_p999,put_avg,put_p50,put_p99,put_p999
12,1641812,800517,0,0,0,0,823708,317422,1650692,30855969
12,1689450,843723,0,0,0,0,449740,332210,1817229,9341419
12,1705716,851958,0,0,0,0,443458,337050,1567194,8165827
12,1671889,835133,0,0,0,0,453889,341999,1616427,8196526
12,1695402,846835,0,0,0,0,455920,336133,1627509,8201034
12,1677849,838018,0,0,0,0,458994,337260,1717770,9000351
12,1687829,843100,0,0,0,0,459218,343838,1668156,8396655
12,1686754,842530,0,0,0,0,460368,343557,1559770,8410421
12,1652240,825253,0,0,0,0,459888,339123,1713312,8163653
12,1666260,832335,0,0,0,0,455489,342430,1636035,8124489
12,1658499,828431,0,0,0,0,462518,346126,1631416,8345208
12,1665024,831662,0,0,0,0,449405,343952,1621347,8208739
12,1676049,837217,0,0,0,0,456735,346157,1544841,8271067
12,1665937,832129,0,0,0,0,455878,342340,1687122,8187619
12,1661822,830034,0,0,0,0,463906,342425,1699335,8151931
12,1656337,827391,0,0,0,0,458337,344464,1618622,8209339
12,1656208,827281,0,0,0,0,472189,342520,1682544,8442663
12,1638547,818440,0,0,0,0,458036,345285,1733530,8224298
12,1660589,829516,0,0,0,0,450910,351822,1604135,4849324
12,1634738,816568,0,0,0,0,492347,343743,1948839,10732278
12,1632417,815372,0,0,0,0,470057,350190,1629863,8443485
12,1629336,813900,0,0,0,0,490336,344564,1754901,16751892
12,1647151,822773,0,0,0,0,463265,347289,1739281,8246600
12,1647243,822787,0,0,0,0,464249,351237,1611449,8282469
12,1644410,821419,0,0,0,0,463231,348661,1668977,7888360
12,1629280,813832,0,0,0,0,454936,350175,1629793,8155618
12,1643018,820672,0,0,0,0,465548,347419,1675379,8128797
12,1642689,820568,0,0,0,0,512776,348271,1706739,34895766
12,1633584,815986,0,0,0,0,488949,351527,1606248,9235407
12,1677148,837727,0,0,0,0,304423,201863,1275430,8118517
11,51077,25514,0,0,0,0,242999,72397,4053032,30821364
