threads,ops,throughput,get_avg,get_p50,get_p99,get_p999,put_avg,put_p50,put_p99,put_p999
12,10745263,5371513,63749,50685,77215,88226,0,0,0,0
12,14968642,7428407,51453,51877,77185,85591,0,0,0,0
12,14983862,7424059,51557,52038,77024,85370,0,0,0,0
12,14976294,7422288,51577,52028,77255,85490,0,0,0,0
12,14976619,7425201,51502,51928,77125,85510,0,0,0,0
12,14980871,7426016,51509,51958,77095,85480,0,0,0,0
12,14976307,7422252,51560,51988,77184,85160,0,0,0,0
12,14960465,7417244,51578,52058,77275,85500,0,0,0,0
12,14972901,7422407,51531,51948,77155,84950,0,0,0,0
12,14980622,7424738,51534,52008,76905,84840,0,0,0,0
12,14967320,7420647,51622,51987,77355,86392,0,0,0,0
12,14974448,7423083,51507,51968,77195,85310,0,0,0,0
12,14982478,7425392,51547,52018,77135,85771,0,0,0,0
12,14972009,7422823,51539,51977,77285,86162,0,0,0,0
12,14973475,7422353,51521,52008,77185,85390,0,0,0,0
12,14969861,7419193,51522,52058,77105,85120,0,0,0,0
12,14975306,7424857,51496,51957,77265,85511,0,0,0,0
12,14976029,7423869,51548,52037,77245,85661,0,0,0,0
12,14983250,7424576,51557,52028,77135,85751,0,0,0,0
12,14970436,7420724,51568,52058,77154,85400,0,0,0,0
12,14966462,7419081,51575,52057,77285,85901,0,0,0,0
12,14982261,7425128,51545,51918,76955,85100,0,0,0,0
12,14973492,7423648,51496,51917,77085,85270,0,0,0,0
12,14982271,7426673,51527,51988,77375,85430,0,0,0,0
12,14977913,7421794,51586,51998,77115,85520,0,0,0,0
12,14970032,7420616,51543,52058,76954,85220,0,0,0,0
12,14973461,7422322,51542,51998,77075,85961,0,0,0,0
12,14972933,7420706,51590,52127,77065,85270,0,0,0,0
12,14977423,7425840,51479,51867,77045,85320,0,0,0,0
12,14255882,7066546,50358,50244,76855,86221,0,0,0,0
12,222244,106059,17465,8786,18635,796154,0,0,0,0
