threads,ops,throughput,get_avg,get_p50,get_p99,get_p999,put_avg,put_p50,put_p99,put_p999
12,2430422,1214975,0,0,0,0,265584,82926,4427398,5238610
12,3523275,1758699,0,0,0,0,218016,82445,4522115,5234402
12,3526861,1759818,0,0,0,0,222042,82169,4572280,5229654
12,3522243,1757755,0,0,0,0,222814,83216,4584854,5210598
12,3500111,1746895,0,0,0,0,215534,83497,4479246,5240173
12,3513406,1753434,0,0,0,0,221267,83557,4564275,5207583
12,3522010,1757674,0,0,0,0,227476,82785,4601274,5279597
12,3553461,1773526,0,0,0,0,213112,83056,4480648,5207412
12,3522042,1757712,0,0,0,0,212580,82509,4496638,5192173
12,3526929,1760088,0,0,0,0,222406,82945,4509262,5222781
12,3514310,1753975,0,0,0,0,216504,82976,4336177,5162688
12,3525736,1759591,0,0,0,0,227364,82805,4529119,5253849
12,3523130,1758178,0,0,0,0,212753,82735,4453768,5202422
12,3513715,1753664,0,0,0,0,214780,83627,4356415,5180090
12,3520369,1756903,0,0,0,0,216438,83978,4420946,5229012
12,3499499,1746389,0,0,0,0,217445,83577,4521595,5163469
12,3517964,1755808,0,0,0,0,216095,83787,4449900,5186242
12,3522918,1758147,0,0,0,0,215715,84038,4453397,5165704
12,3510656,1751954,0,0,0,0,225259,83296,4578843,5184589
12,3517100,1755386,0,0,0,0,216687,83196,4519771,5205659
12,3508760,1751097,0,0,0,0,220407,83367,4544949,5156746
12,3513690,1753481,0,0,0,0,214042,83396,4433219,5145897
12,3510743,1752204,0,0,0,0,221941,83597,4477773,5213353
12,3536194,1764788,0,0,0,0,213909,82905,4425475,5180501
12,3514371,1753788,0,0,0,0,221362,83036,4543847,5208584
12,3517121,1755394,0,0,0,0,216942,82875,4490657,5176414
12,3515502,1754470,0,0,0,0,218145,83367,4525352,5214906
12,3501673,1747482,0,0,0,0,217708,82906,4450702,5174500
12,3504314,1749000,0,0,0,0,226285,83818,4511917,5172226
12,3514225,1753840,0,0,0,0,214325,83376,4414114,5153711
12,1106434,552158,0,0,0,0,108755,52308,2242108,6022352
