threads,ops,throughput,get_avg,get_p50,get_p99,get_p999,put_avg,put_p50,put_p99,put_p999
12,2602200,1300768,259352,149175,1145920,2810464,0,0,0,0
12,3792234,1892780,203024,152616,1021377,2582647,0,0,0,0
12,3781071,1886475,203996,151654,1091348,2661074,0,0,0,0
12,3797405,1894872,203263,153428,1004144,2527423,0,0,0,0
12,3776581,1884675,202992,152551,1011268,2580723,0,0,0,0
12,3794120,1893350,202549,148829,1111505,2663278,0,0,0,0
12,3789433,1890933,202967,151244,1048177,2713252,0,0,0,0
12,3784741,1888752,202207,151344,1043899,2645304,0,0,0,0
12,3789577,1891036,203145,149545,1125472,2751303,0,0,0,0
12,3789020,1890673,204881,151364,1102559,2728921,0,0,0,0
12,3785393,1888775,204747,150267,1129660,2814712,0,0,0,0
12,3777034,1884315,203738,153643,1008072,2522414,0,0,0,0
12,3786348,1889209,202924,152666,1012170,2553782,0,0,0,0
12,3781069,1886458,203163,151845,993113,2682334,0,0,0,0
12,3781862,1886963,202581,154795,975060,2279087,0,0,0,0
12,3782071,1886759,204121,154535,972444,2511032,0,0,0,0
12,3782952,1887707,201783,150973,1030654,2525259,0,0,0,0
12,3779359,1885490,201871,150302,1058677,2670181,0,0,0,0
12,3790455,1891193,202741,152275,1038890,2620207,0,0,0,0
12,3784066,1887963,202862,150873,1087411,2692683,0,0,0,0
12,3781873,1886998,204044,151825,1078254,2605880,0,0,0,0
12,3788239,1889886,202081,150712,1068164,2563971,0,0,0,0
12,3780212,1886407,202902,152161,1031415,2688124,0,0,0,0
12,3783255,1887900,203545,153178,1030804,2643570,0,0,0,0
12,3794620,1893026,203916,151895,1086959,2574862,0,0,0,0
12,3790803,1891769,201798,152486,1023260,2469123,0,0,0,0
12,3790496,1891463,202876,151655,1056523,2545937,0,0,0,0
12,3778740,1885577,203606,152817,1036835,2675531,0,0,0,0
12,3782941,1887790,201957,151098,1048478,2458694,0,0,0,0
12,3775737,1884171,204383,153548,1042847,2506463,0,0,0,0
12,975469,486738,118018,57472,707117,8913747,0,0,0,0
