threads,ops,throughput,get_avg,get_p50,get_p99,get_p999,put_avg,put_p50,put_p99,put_p999
12,1676539,838095,0,0,0,0,354995,88826,6857659,8708542
12,2328250,1162853,0,0,0,0,337772,89297,6915487,9088395
12,2338429,1167321,0,0,0,0,330128,90880,6836649,7981748
12,2321185,1158970,0,0,0,0,323135,86632,7002711,8907786
12,2346621,1171787,0,0,0,0,331367,87785,6960341,8366991
12,2340521,1168638,0,0,0,0,326521,86763,7112828,8858574
12,2337480,1167103,0,0,0,0,330045,88907,7009764,8795355
12,2333586,1165210,0,0,0,0,314577,87098,6881523,8308582
12,2329603,1163177,0,0,0,0,323757,87640,6878087,8303972
12,2343985,1170324,0,0,0,0,331527,88566,7145659,8422646
12,2342709,1169773,0,0,0,0,316523,90630,6674194,8247968
12,2334331,1165527,0,0,0,0,329218,87544,7059677,8856841
12,2333853,1165267,0,0,0,0,316838,88667,6839775,8731966
12,2334922,1165912,0,0,0,0,321256,88456,7065980,9038922
12,2341013,1168886,0,0,0,0,322501,87058,6934233,8542420
12,2342124,1169368,0,0,0,0,324325,87854,7056552,8305516
12,2327226,1162044,0,0,0,0,335859,86517,7041523,8891947
12,2335725,1166256,0,0,0,0,324535,88416,6752812,8088408
12,2337921,1167270,0,0,0,0,340421,89388,7023770,8380697
12,2346075,1171461,0,0,0,0,321234,91852,6469611,7986016
12,2362941,1179810,0,0,0,0,316924,89638,6697378,8193285
12,2334991,1165820,0,0,0,0,327923,87945,7087900,8525558
12,2309394,1153143,0,0,0,0,340102,82775,7456262,9668143
12,2328682,1162725,0,0,0,0,341500,87715,7187207,8787640
12,2340580,1168630,0,0,0,0,336765,89638,6931868,8181323
12,2346085,1171627,0,0,0,0,312256,89228,6775695,8106071
12,2339187,1167881,0,0,0,0,321380,88206,7074897,8709374
12,2361903,1179263,0,0,0,0,336362,92523,7037005,8312108
12,2326394,1161586,0,0,0,0,330537,85119,7192317,8719923
12,2323264,1160033,0,0,0,0,333878,88626,7048567,8606360
12,518897,259075,0,0,0,0,221832,68598,6801874,9615675
