threads,ops,throughput,get_avg,get_p50,get_p99,get_p999,put_avg,put_p50,put_p99,put_p999
1,27357,13677,83605,24676,4025686,4030735,0,0,0,0
1,50056,25025,46891,24205,26179,4023231,0,0,0,0
1,50096,25045,40494,24486,26329,4028571,0,0,0,0
1,49928,24962,47200,24155,26640,4040153,0,0,0,0
1,50127,25061,32498,24466,26209,4014615,0,0,0,0
1,50129,25062,48383,24496,27532,4022800,0,0,0,0
1,49992,24994,23295,24180,26039,135935,0,0,0,0
1,50128,25061,31151,24166,25888,4024563,0,0,0,0
1,50129,25062,32511,24471,26540,4031236,0,0,0,0
1,50036,25016,24529,24456,27171,29335,0,0,0,0
1,50081,25038,64694,24506,4016519,4029854,0,0,0,0
1,49895,24945,55151,24156,131066,4030756,0,0,0,0
1,50133,25065,39042,24170,25968,4139399,0,0,0,0
1,50023,25005,39418,24256,25879,4026818,0,0,0,0
1,50095,25045,30857,24135,25668,4022831,0,0,0,0
1,50053,25025,32567,24446,26189,4024033,0,0,0,0
1,50008,25001,48536,24496,25968,4030966,0,0,0,0
1,50122,25058,24532,24486,26129,27872,0,0,0,0
1,50022,25006,24520,24496,26029,27171,0,0,0,0
1,50046,25020,40157,24486,26259,4021688,0,0,0,0
1,50138,25066,23078,24156,25598,127730,0,0,0,0
1,50045,25021,22870,24155,25819,26580,0,0,0,0
1,50192,25094,24655,24436,25958,121859,0,0,0,0
1,50167,25081,46857,24120,28073,4026838,0,0,0,0
1,49994,24995,30894,24155,26230,4013984,0,0,0,0
1,50077,25036,38903,24175,26370,4030014,0,0,0,0
1,50136,25065,63156,24236,29906,4030846,0,0,0,0
1,50073,25034,24937,24440,27471,140314,0,0,0,0
1,50001,24998,48748,24486,26620,4028912,0,0,0,0
1,49971,24983,38939,24206,26560,4025185,0,0,0,0
1,64946,32471,41242,24015,25939,4026658,0,0,0,0
1,68709,34349,22978,23985,26280,144392,0,0,0,0
