threads,ops,throughput,get_avg,get_p50,get_p99,get_p999,put_avg,put_p50,put_p99,put_p999
1,81342,40669,14266,18094,23013,43301,0,0,0,0
1,137948,68966,14355,18134,22793,25468,0,0,0,0
1,137581,68781,14254,18194,22632,24226,0,0,0,0
1,135363,67675,14293,18175,22623,23445,0,0,0,0
1,135551,67767,14429,18174,22813,24516,0,0,0,0
1,137341,68661,14238,18144,22592,23775,0,0,0,0
1,137525,68755,14229,18184,22843,23444,0,0,0,0
1,137141,68561,14088,18184,22793,25228,0,0,0,0
1,137620,68800,14139,18154,22723,23915,0,0,0,0
1,138182,69084,14130,18124,22973,25238,0,0,0,0
1,137998,68990,14546,18254,22683,23484,0,0,0,0
1,136099,68040,14789,18275,23054,24947,0,0,0,0
1,136613,68299,22561,18144,22763,25719,0,0,0,0
1,137431,68706,14409,18224,22803,24316,0,0,0,0
1,137213,68597,14584,18244,22552,24095,0,0,0,0
1,136993,68489,14401,18225,22712,23313,0,0,0,0
1,137418,68700,14730,18304,22693,24115,0,0,0,0
1,137536,68757,14481,18214,22943,25458,0,0,0,0
1,137526,68756,14017,18124,22933,25178,0,0,0,0
1,138339,69160,14218,18234,22813,24757,0,0,0,0
1,137199,68590,14452,18249,22813,24506,0,0,0,0
1,137328,68657,14223,18184,22753,23464,0,0,0,0
1,137184,68583,14555,18234,22993,24896,0,0,0,0
1,137052,68517,14204,18149,22783,25158,0,0,0,0
1,137093,68539,14399,18205,22703,23615,0,0,0,0
1,137437,68710,13800,18069,22923,24997,0,0,0,0
1,137804,68892,14178,18144,22743,25698,0,0,0,0
1,137555,68771,14335,18214,22783,24395,0,0,0,0
1,138054,69017,14056,18124,22933,24686,0,0,0,0
1,137331,68656,14335,18214,22772,23384,0,0,0,0
1,130756,65370,14095,17994,22482,23023,0,0,0,0
