threads,ops,throughput,get_avg,get_p50,get_p99,get_p999,put_avg,put_p50,put_p99,put_p999
1,32810,16403,34280,21831,30878,4016829,0,0,0,0
1,58674,29335,55209,21089,25868,4027368,0,0,0,0
1,58551,29272,41759,21150,24616,4027809,0,0,0,0
1,58724,29359,35128,21430,23103,4028410,0,0,0,0
1,58660,29328,27995,21140,23013,4016768,0,0,0,0
1,58591,29293,41943,21425,24526,8008870,0,0,0,0
1,58774,29384,28288,21400,23254,4020976,0,0,0,0
1,58736,29366,23435,16551,18174,4022719,0,0,0,0
1,58619,29306,28268,21430,23304,4008984,0,0,0,0
1,58704,29349,34784,21129,23495,4022990,0,0,0,0
1,58648,29322,21510,21430,23103,24416,0,0,0,0
1,58601,29297,41581,21080,23314,4024252,0,0,0,0
1,58772,29383,48328,21079,22913,4031536,0,0,0,0
1,58828,29412,39420,20518,23114,4026867,0,0,0,0
1,58755,29374,23400,16481,18455,4014294,0,0,0,0
1,58806,29400,34724,21110,23003,4010817,0,0,0,0
1,58867,29431,28267,21420,23044,4019944,0,0,0,0
1,58704,29349,28300,21351,24506,4028260,0,0,0,0
1,58769,29381,28302,21385,23394,4021006,0,0,0,0
1,58397,29196,28002,21084,22843,4010406,0,0,0,0
1,58771,29382,27960,21089,23023,4022639,0,0,0,0
1,58656,29325,41974,21420,24315,8025512,0,0,0,0
1,58777,29386,21182,21110,23324,26780,0,0,0,0
1,58783,29388,34782,21140,23324,4021177,0,0,0,0
1,58595,29294,35179,21440,24155,4025625,0,0,0,0
1,58788,29392,35123,21460,23073,4023992,0,0,0,0
1,58666,29330,28169,21310,22943,4018311,0,0,0,0
1,58889,29441,35228,21591,23194,8011695,0,0,0,0
1,58788,29392,23447,16551,18254,4017971,0,0,0,0
1,58682,29338,35311,21630,25538,4014303,0,0,0,0
1,77273,38632,31654,21185,23283,4021327,0,0,0,0
1,94400,47196,21179,21050,22773,25819,0,0,0,0
1,94507,47247,21139,21030,22563,25648,0,0,0,0
1,94453,47220,21436,21320,22833,27853,0,0,0,0
1,94504,47247,20789,20699,22222,25639,0,0,0,0
1,94513,47251,21453,21350,22953,26960,0,0,0,0
1,22658,11327,16303,16215,17413,17723,0,0,0,0
