threads,ops,throughput,get_avg,get_p50,get_p99,get_p999,put_avg,put_p50,put_p99,put_p999
1,162716,81355,6288,6242,6973,10881,0,0,0,0
1,306862,153406,6284,6242,6994,8335,0,0,0,0
1,306427,153180,6269,6212,6994,7384,0,0,0,0
1,305967,152957,6347,6316,7024,7494,0,0,0,0
1,305904,152921,6263,6212,7003,7625,0,0,0,0
1,305852,152894,6354,6322,7113,7675,0,0,0,0
1,305758,152853,6263,6212,7083,9739,0,0,0,0
1,305854,152896,6262,6212,6953,7645,0,0,0,0
1,306003,152969,6352,6312,7114,10270,0,0,0,0
1,306087,153018,6300,6262,6973,9618,0,0,0,0
1,305754,152845,6278,6232,7043,9148,0,0,0,0
1,305788,152862,6275,6232,7003,8596,0,0,0,0
1,305647,152798,6276,6231,7024,9217,0,0,0,0
1,305711,152824,6269,6222,7013,8496,0,0,0,0
1,305578,152757,6274,6222,7173,9839,0,0,0,0
1,305422,152685,6360,6322,7153,8736,0,0,0,0
1,305634,152787,6365,6332,7233,9267,0,0,0,0
1,305471,152703,6270,6232,7014,9128,0,0,0,0
1,305382,152665,6276,6232,7063,8766,0,0,0,0
1,305196,152566,6363,6332,7153,7704,0,0,0,0
1,305096,152517,6296,6252,7063,9438,0,0,0,0
1,305173,152560,6370,6332,7213,7755,0,0,0,0
1,305135,152535,6365,6322,7204,8336,0,0,0,0
1,304987,152460,6292,6252,7073,9157,0,0,0,0
1,305169,152559,6284,6242,7053,9117,0,0,0,0
1,304936,152436,6364,6331,7183,8677,0,0,0,0
1,304891,152413,6289,6242,7084,7894,0,0,0,0
1,304652,152300,6288,6242,7053,8366,0,0,0,0
1,304658,152298,6295,6252,7124,10019,0,0,0,0
1,304534,152235,6320,6282,7103,7875,0,0,0,0
1,310799,155374,6239,6191,6984,9919,0,0,0,0
1,21806,10899,6152,6131,6703,6913,0,0,0,0
