threads,ops,throughput,get_avg,get_p50,get_p99,get_p999,put_avg,put_p50,put_p99,put_p999
1,94446,47220,15432,15389,16601,29965,0,0,0,0
1,128339,64161,15598,15549,16901,19246,0,0,0,0
1,128112,64048,15592,15498,17463,24756,0,0,0,0
1,128338,64159,15605,15559,16762,21370,0,0,0,0
1,128216,64098,15393,15359,16651,17012,0,0,0,0
1,128328,64155,15577,15524,16881,18845,0,0,0,0
1,128324,64153,15350,15299,16682,21229,0,0,0,0
1,128396,64187,15586,15519,17453,20859,0,0,0,0
1,128145,64064,15395,15359,16832,17844,0,0,0,0
1,128292,64136,15594,15529,16952,22392,0,0,0,0
1,128246,64112,15375,15328,16652,18655,0,0,0,0
1,128264,64124,15353,15309,16551,19076,0,0,0,0
1,128167,64074,15408,15373,16671,18895,0,0,0,0
1,128398,64188,15463,15409,16671,20869,0,0,0,0
1,128272,64128,15523,15479,16952,19426,0,0,0,0
1,128277,64128,15472,15439,16721,19286,0,0,0,0
1,128137,64058,15479,15419,16872,18845,0,0,0,0
1,128295,64139,15373,15329,16661,18454,0,0,0,0
1,128199,64092,15507,15469,16922,18995,0,0,0,0
1,128244,64111,15412,15378,16681,18264,0,0,0,0
1,128144,64063,15543,15499,16802,18745,0,0,0,0
1,128347,64163,15395,15368,16591,19907,0,0,0,0
1,128186,64083,15599,15549,16931,18866,0,0,0,0
1,128185,64084,15593,15539,16991,19166,0,0,0,0
1,128248,64115,15552,15509,17122,19236,0,0,0,0
1,128362,64174,15592,15549,16751,19426,0,0,0,0
1,128152,64071,15391,15339,16711,19837,0,0,0,0
1,128195,64089,15621,15574,16881,18464,0,0,0,0
1,128136,64061,15443,15399,16761,18214,0,0,0,0
1,128192,64088,15585,15529,17092,19126,0,0,0,0
1,132690,66334,14994,14888,16441,19376,0,0,0,0
1,134324,67151,14781,14728,15830,18474,0,0,0,0
1,134176,67080,14813,14767,15940,18445,0,0,0,0
1,134319,67149,14767,14698,15939,18114,0,0,0,0
1,134229,67103,14884,14808,16090,18755,0,0,0,0
1,132066,66024,14708,14657,15729,18355,0,0,0,0
