threads,ops,throughput,get_avg,get_p50,get_p99,get_p999,put_avg,put_p50,put_p99,put_p999
1,63691,31839,0,0,0,0,24940,20438,75802,147366
1,71921,35951,0,0,0,0,29674,20533,69800,2655436
1,78400,39190,0,0,0,0,24970,20779,62116,147025
1,77435,38711,0,0,0,0,24664,20218,66565,157345
1,77709,38850,0,0,0,0,23599,19907,59432,114574
1,75826,37908,0,0,0,0,25327,20628,84027,128541
1,77792,38891,0,0,0,0,25019,20553,73517,133029
1,78825,39408,0,0,0,0,25362,20349,83036,301114
1,78136,39063,0,0,0,0,24968,20423,68138,178935
1,76056,38023,0,0,0,0,24595,20368,62608,145413
1,77886,38939,0,0,0,0,25468,21019,70843,269575
1,78082,39036,0,0,0,0,26593,20548,72787,1005084
1,78513,39251,0,0,0,0,24915,20137,73538,172183
1,78916,39454,0,0,0,0,24445,20498,64300,143348
1,78795,39392,0,0,0,0,25140,20719,80731,152867
1,78658,39324,0,0,0,0,24510,20358,79529,123121
1,74533,37262,0,0,0,0,26003,20519,86452,189766
1,75341,37666,0,0,0,0,25012,20419,74920,149310
1,76103,38046,0,0,0,0,26664,20569,81693,1504419
1,76849,38420,0,0,0,0,27905,20769,81282,1067130
1,78705,39347,0,0,0,0,25113,20748,58570,186039
1,77946,38968,0,0,0,0,24995,20258,75381,152526
1,75980,37986,0,0,0,0,26022,20323,82244,368601
1,68527,34259,0,0,0,0,25541,20479,86091,572572
1,68157,34074,0,0,0,0,27870,20308,62797,2648794
1,66503,33248,0,0,0,0,41389,21230,68910,8039715
1,65325,32658,0,0,0,0,24360,20388,63489,102782
1,67258,33624,0,0,0,0,30576,20759,66325,4014673
1,63354,31674,0,0,0,0,24416,20268,61575,136435
1,67208,33600,0,0,0,0,28330,20478,71183,2516436
1,12658,6328,0,0,0,0,24421,21059,61786,63209
