threads,ops,throughput,get_avg,get_p50,get_p99,get_p999,put_avg,put_p50,put_p99,put_p999
1,204013,101986,8119,7554,13446,19727,0,0,0,0
1,245137,122534,8088,7674,13115,17053,0,0,0,0
1,245557,122741,8025,7624,12574,16861,0,0,0,0
1,245524,122739,8056,7654,12694,17824,0,0,0,0
1,243552,121758,8061,7644,13065,18255,0,0,0,0
1,242804,121381,8086,7674,13104,16370,0,0,0,0
1,240756,120356,8019,7625,12844,15529,0,0,0,0
1,243362,121664,8046,7614,12714,16481,0,0,0,0
1,244827,122392,8192,7785,12614,15068,0,0,0,0
1,244466,122210,8002,7559,12844,15970,0,0,0,0
1,245156,122560,8071,7624,12523,16992,0,0,0,0
1,243668,121812,8102,7645,13586,18855,0,0,0,0
1,243324,121639,8089,7655,13115,16781,0,0,0,0
1,244965,122464,8061,7644,13315,18204,0,0,0,0
1,244747,122351,8080,7664,12764,15139,0,0,0,0
1,245190,122572,8011,7584,12815,17412,0,0,0,0
1,243553,121759,8107,7684,12894,16521,0,0,0,0
1,244870,122414,8018,7554,13365,17924,0,0,0,0
1,245229,122591,8057,7624,12965,17383,0,0,0,0
1,244569,122267,9906,7654,13696,17943,0,0,0,0
1,245043,122500,8196,7769,13455,16281,0,0,0,0
1,245073,122513,8031,7605,12985,15799,0,0,0,0
1,244045,122005,8053,7604,13405,17213,0,0,0,0
1,244768,122362,8180,7734,13515,20018,0,0,0,0
1,243908,121931,8065,7624,13365,16581,0,0,0,0
1,242970,121468,8149,7735,13115,17684,0,0,0,0
1,243310,121634,8099,7674,12603,16311,0,0,0,0
1,244112,122034,7968,7574,12563,16431,0,0,0,0
1,245254,122609,8058,7674,13024,16010,0,0,0,0
1,244301,122129,8080,7684,12573,18184,0,0,0,0
1,37003,18497,8287,7799,14017,17423,0,0,0,0
