threads,ops,throughput,get_avg,get_p50,get_p99,get_p999,put_avg,put_p50,put_p99,put_p999
1,76100,38044,0,0,0,0,21617,17883,40707,403288
1,101181,50580,0,0,0,0,19561,18044,33764,37130
1,103117,51547,0,0,0,0,19186,17788,34414,45035
1,104195,52091,0,0,0,0,18968,17783,33754,37590
1,104152,52072,0,0,0,0,18891,17784,32792,39173
1,103989,51989,0,0,0,0,18859,17743,33263,42210
1,103522,51755,0,0,0,0,19184,17774,34314,47710
1,103769,51880,0,0,0,0,19245,17818,35637,44143
1,103942,51966,0,0,0,0,19175,17878,34284,38633
1,102501,51245,0,0,0,0,19019,17723,35858,39604
1,101128,50560,0,0,0,0,19367,18024,34655,41698
1,103791,51890,0,0,0,0,19173,17868,34355,42761
1,103910,51949,0,0,0,0,19052,17834,33423,43481
1,102416,51204,0,0,0,0,19192,17883,35106,40456
1,103868,51929,0,0,0,0,19217,17814,35998,45165
1,103960,51974,0,0,0,0,19248,17818,36619,56386
1,103645,51818,0,0,0,0,19268,17864,35758,46106
1,103393,51691,0,0,0,0,19180,17783,35557,52810
1,103914,51951,0,0,0,0,19236,17934,34394,38211
1,103783,51887,0,0,0,0,19010,17778,34926,41047
1,103637,51813,0,0,0,0,19315,17904,34886,49102
1,103841,51914,0,0,0,0,19233,17814,36208,45575
1,103688,51840,0,0,0,0,19391,17894,36458,49403
1,102807,51398,0,0,0,0,19448,17908,36358,43913
1,103400,51694,0,0,0,0,19344,17894,36498,40676
1,103587,51789,0,0,0,0,18969,17938,33754,38843
1,103654,51822,0,0,0,0,18928,17763,33102,43372
1,103381,51685,0,0,0,0,19279,17844,34916,41568
1,103707,51849,0,0,0,0,19032,17864,34846,43722
1,103343,51666,0,0,0,0,19205,17854,35276,42409
1,15367,7682,0,0,0,0,18975,17488,37250,39634
