threads,ops,throughput,get_avg,get_p50,get_p99,get_p999,put_avg,put_p50,put_p99,put_p999
1,62986,31484,0,0,0,0,23673,19832,62196,126316
1,76500,38242,0,0,0,0,24855,20319,67807,204784
1,73271,36628,0,0,0,0,25157,20298,71333,251461
1,77111,38551,0,0,0,0,24259,20007,62457,169888
1,75142,37568,0,0,0,0,30459,20638,63910,4027011
1,70589,35291,0,0,0,0,25038,20058,71354,361316
1,68801,34397,0,0,0,0,24247,20348,58660,123551
1,70553,35274,0,0,0,0,38792,20593,74669,8032080
1,70904,35448,0,0,0,0,24450,20077,71834,118401
1,75280,37636,0,0,0,0,35191,20218,73748,8018104
1,70636,35315,0,0,0,0,25292,20278,65092,651530
1,71897,35945,0,0,0,0,33990,20538,71664,5404731
1,74862,37427,0,0,0,0,24621,20268,70963,106159
1,72163,36079,0,0,0,0,30489,20288,87053,4017544
1,68808,34401,0,0,0,0,25674,20874,75482,169918
1,71578,35785,0,0,0,0,24619,20523,69840,110497
1,71772,35883,0,0,0,0,24888,20589,66735,165139
1,72517,36255,0,0,0,0,25112,20538,74660,111750
1,74691,37341,0,0,0,0,24461,20489,67236,88866
1,69380,34687,0,0,0,0,24399,20543,67035,103103
1,67961,33977,0,0,0,0,24697,20418,63469,139701
1,73109,36551,0,0,0,0,24983,20388,74159,84137
1,70603,35299,0,0,0,0,35738,20333,69290,8011823
1,73251,36622,0,0,0,0,25415,20398,79760,267711
1,66086,33039,0,0,0,0,30920,20599,79188,4021040
1,70266,35130,0,0,0,0,24819,20318,63860,112981
1,71972,35982,0,0,0,0,37091,20428,70973,4015068
1,68782,34387,0,0,0,0,24718,20223,60784,75721
1,74731,37362,0,0,0,0,23769,20228,54442,87434
1,78370,39181,0,0,0,0,25041,20664,78357,153187
1,14708,7353,0,0,0,0,29771,20749,129563,629118
