threads,ops,throughput,get_avg,get_p50,get_p99,get_p999,put_avg,put_p50,put_p99,put_p999
1,45160,22575,0,0,0,0,40157,35937,87434,186659
1,49737,24862,0,0,0,0,40798,37435,102181,140493
1,49505,24747,0,0,0,0,39882,35367,111028,203681
1,49759,24876,0,0,0,0,38353,35586,97182,223698
1,49492,24744,0,0,0,0,40662,37290,103534,174186
1,49472,24733,0,0,0,0,40752,36388,116739,216085
1,49698,24846,0,0,0,0,40567,36158,110296,270045
1,49735,24865,0,0,0,0,40844,37665,103564,127869
1,49720,24857,0,0,0,0,41803,36789,105147,954536
1,49445,24719,0,0,0,0,40303,36017,105858,146535
1,49633,24814,0,0,0,0,40396,36939,96120,108823
1,49453,24724,0,0,0,0,41499,36979,132668,254977
1,49771,24882,0,0,0,0,38761,36218,81382,120946
1,49721,24858,0,0,0,0,39512,36659,84498,163747
1,49695,24845,0,0,0,0,39719,37119,84839,206346
1,49634,24814,0,0,0,0,40142,37280,93965,202569
1,49040,24518,0,0,0,0,40795,36559,116808,258063
1,49553,24774,0,0,0,0,39303,36128,84338,103503
1,49708,24851,0,0,0,0,40457,35857,99105,178233
1,49415,24705,0,0,0,0,39866,36273,99557,145623
1,49692,24843,0,0,0,0,40239,35777,107751,122910
1,49136,24565,0,0,0,0,39964,36728,93255,148788
1,49352,24674,0,0,0,0,39253,35877,90108,118411
1,49543,24769,0,0,0,0,41288,37650,95369,118562
1,49135,24564,0,0,0,0,39318,35436,90379,107391
1,49600,24798,0,0,0,0,38630,35466,89257,117770
1,49399,24696,0,0,0,0,40415,36609,89868,120606
1,49470,24732,0,0,0,0,40886,38236,95619,113633
1,49558,24777,0,0,0,0,40854,37390,104205,145502
1,49824,24909,0,0,0,0,39755,35642,95909,161522
1,5817,2908,0,0,0,0,29604,25653,75751,75751
