threads,ops,throughput,get_avg,get_p50,get_p99,get_p999,put_avg,put_p50,put_p99,put_p999
1,71852,35921,25337,23895,45284,116848,0,0,0,0
1,79570,39776,25265,23629,47959,67666,0,0,0,0
1,79623,39803,25198,23614,44513,65682,0,0,0,0
1,79442,39717,25159,23684,48450,57396,0,0,0,0
1,79549,39772,25012,23374,46085,72144,0,0,0,0
1,79546,39769,25152,23775,44523,57326,0,0,0,0
1,79577,39784,25041,23774,45585,53590,0,0,0,0
1,79565,39780,24895,23313,49041,69179,0,0,0,0
1,79632,39812,25218,23829,50274,83274,0,0,0,0
1,79489,39740,24953,23754,44763,55053,0,0,0,0
1,79588,39791,25302,23644,47248,68007,0,0,0,0
1,79574,39783,25297,23554,47920,71373,0,0,0,0
1,79621,39806,25305,23704,49953,80871,0,0,0,0
1,79585,39790,25080,23609,48680,57176,0,0,0,0
1,79491,39742,24829,23443,46857,65602,0,0,0,0
1,79468,39730,25458,24105,50775,79177,0,0,0,0
1,79533,39764,25388,24065,50554,65692,0,0,0,0
1,79503,39747,25011,23664,45856,58168,0,0,0,0
1,79545,39768,25031,23439,47989,56425,0,0,0,0
1,79352,39673,25317,23674,47869,102341,0,0,0,0
1,79499,39745,25129,23614,52608,64209,0,0,0,0
1,79514,39753,25235,23634,46446,56605,0,0,0,0
1,79610,39802,25097,23559,47659,54291,0,0,0,0
1,79555,39773,25113,23914,45836,68958,0,0,0,0
1,79369,39680,24946,23343,43832,70852,0,0,0,0
1,79380,39687,24729,23323,46076,60553,0,0,0,0
1,79243,39617,25555,23815,50124,76001,0,0,0,0
1,79296,39644,25314,24035,48851,62566,0,0,0,0
1,79372,39683,25085,23659,46767,54652,0,0,0,0
1,79425,39708,25241,23694,48450,60803,0,0,0,0
1,8040,4019,23159,21650,49993,49993,0,0,0,0
