threads,ops,throughput,get_avg,get_p50,get_p99,get_p999,put_avg,put_p50,put_p99,put_p999
1,32637,16315,53129,48912,133621,187071,0,0,0,0
1,38435,19213,53555,51507,113613,142218,0,0,0,0
1,38336,19164,51325,48721,106400,133049,0,0,0,0
1,38254,19125,52126,49402,106610,147076,0,0,0,0
1,38367,19182,54355,51221,114215,230503,0,0,0,0
1,38459,19227,52576,49473,103154,165701,0,0,0,0
1,38304,19150,51843,49533,101200,122500,0,0,0,0
1,38231,19114,53617,50034,122941,196349,0,0,0,0
1,38328,19162,52507,48942,104887,152647,0,0,0,0
1,38398,19197,51116,49418,102192,120586,0,0,0,0
1,38646,19321,52487,50695,110427,148659,0,0,0,0
1,38210,19103,50754,48131,105808,148699,0,0,0,0
1,38403,19199,51843,48426,105027,162225,0,0,0,0
1,38349,19173,53076,49192,113262,171202,0,0,0,0
1,38376,19186,51752,49984,105038,129884,0,0,0,0
1,38298,19147,54491,51316,139462,203622,0,0,0,0
1,38337,19167,53017,51301,102733,147817,0,0,0,0
1,38297,19146,52091,49433,97303,122820,0,0,0,0
1,38206,19101,53082,50920,97994,111980,0,0,0,0
1,38308,19152,51748,50125,105148,126517,0,0,0,0
1,38299,19147,53146,50886,108284,113994,0,0,0,0
1,38313,19154,52167,49292,110417,187322,0,0,0,0
1,38303,19150,53677,50756,122020,218741,0,0,0,0
1,38524,19260,50608,48591,91081,136115,0,0,0,0
1,38347,19171,51568,49002,101431,173315,0,0,0,0
1,38345,19171,51882,48651,106781,133531,0,0,0,0
1,38293,19144,51766,47930,102663,149461,0,0,0,0
1,38304,19150,52375,50274,101600,128030,0,0,0,0
1,38458,19227,51688,49793,102352,130736,0,0,0,0
1,38412,19204,52549,49809,103174,137358,0,0,0,0
1,5943,2971,38731,41117,84448,84448,0,0,0,0
