threads,ops,throughput,get_avg,get_p50,get_p99,get_p999,put_avg,put_p50,put_p99,put_p999
1,58766,29378,0,0,0,0,30366,28198,59633,223280
1,64782,32384,0,0,0,0,30881,28578,74711,118884
1,64738,32362,0,0,0,0,30463,28989,60313,72497
1,64966,32479,0,0,0,0,30917,28528,66595,83066
1,64883,32439,0,0,0,0,30723,28744,63449,84218
1,64954,32473,0,0,0,0,30657,28579,58440,68870
1,64808,32400,0,0,0,0,31160,28894,62437,72387
1,64789,32392,0,0,0,0,31359,28633,67156,81874
1,64918,32455,0,0,0,0,30122,27742,61305,75723
1,64771,32382,0,0,0,0,31154,28929,62517,76123
1,64678,32336,0,0,0,0,30551,28363,61175,190508
1,64635,32313,0,0,0,0,30354,28729,66014,85090
1,64710,32351,0,0,0,0,30769,28844,62808,86593
1,64806,32400,0,0,0,0,30338,28754,57037,69481
1,64665,32329,0,0,0,0,31200,29610,62337,91321
1,64847,32420,0,0,0,0,30719,28338,59982,83126
1,64865,32430,0,0,0,0,30734,28754,60674,73308
1,64607,32300,0,0,0,0,31138,28854,63049,427052
1,64743,32368,0,0,0,0,30320,27823,63138,73388
1,64841,32418,0,0,0,0,30834,28964,64571,86643
1,64842,32417,0,0,0,0,30555,28764,62137,81783
1,64805,32399,0,0,0,0,31345,29435,60925,82706
1,64493,32244,0,0,0,0,30566,28734,64952,90540
1,64562,32278,0,0,0,0,31150,28373,60664,344898
1,64642,32318,0,0,0,0,31145,30011,62648,89959
1,64668,32332,0,0,0,0,31403,29084,62757,91222
1,64724,32359,0,0,0,0,30931,28854,64782,103004
1,64760,32377,0,0,0,0,30232,28694,57127,74480
1,64173,32084,0,0,0,0,30471,28593,59743,73308
1,64690,32342,0,0,0,0,30830,28173,65353,82294
1,6717,3358,0,0,0,0,29589,27282,53070,53070
