threads,ops,throughput,get_avg,get_p50,get_p99,get_p999,put_avg,put_p50,put_p99,put_p999
12,5833689,2916416,112660,84217,169426,198871,0,0,0,0
12,8610489,4288756,89305,88015,171179,199132,0,0,0,0
12,8631687,4290071,89460,88215,171089,197799,0,0,0,0
12,8632393,4290948,89121,87844,170288,197739,0,0,0,0
12,8625516,4288657,89297,87874,171580,199182,0,0,0,0
12,8622941,4287408,89525,88305,171991,198210,0,0,0,0
12,8631878,4291088,89252,88014,170949,200434,0,0,0,0
12,8624460,4288677,89623,88245,171300,197698,0,0,0,0
12,8619725,4285939,89623,88175,171630,198801,0,0,0,0
12,8626851,4288655,89464,88014,171671,200965,0,0,0,0
12,8632181,4292543,89434,88055,171259,197218,0,0,0,0
12,8630285,4291055,89104,88064,170728,196687,0,0,0,0
12,8633789,4292046,89110,87894,171129,197268,0,0,0,0
12,8622608,4287844,89392,88174,171109,196256,0,0,0,0
12,8631299,4291639,89095,87754,171090,197709,0,0,0,0
12,8626135,4288253,89522,88135,171880,198471,0,0,0,0
12,8623735,4288382,89440,88014,171249,197368,0,0,0,0
12,8626842,4289300,89129,88114,170959,198260,0,0,0,0
12,8631954,4290674,89218,88084,169978,196186,0,0,0,0
12,8627657,4289695,89373,88225,171119,198590,0,0,0,0
12,8631899,4291904,89273,88004,171009,196867,0,0,0,0
12,8627091,4288692,89317,88014,171630,198350,0,0,0,0
12,8630324,4291643,89470,88085,171059,196366,0,0,0,0
12,8632173,4291956,89202,88025,170648,196467,0,0,0,0
12,8630038,4289599,89489,88084,171320,195755,0,0,0,0
12,8633840,4292673,89076,87974,170628,196937,0,0,0,0
12,8630942,4291402,89257,88014,170889,197899,0,0,0,0
12,8632541,4291349,89288,88079,170749,198932,0,0,0,0
12,8626097,4289509,89356,88004,171039,198380,0,0,0,0
12,8640626,4296062,88965,86832,170287,202778,0,0,0,0
12,1723595,841633,38581,22773,91832,4674703,0,0,0,0
