threads,ops,throughput,get_avg,get_p50,get_p99,get_p999,put_avg,put_p50,put_p99,put_p999
12,10344371,5171247,63234,50655,84308,93636,0,0,0,0
12,15271255,7583654,50305,51016,83867,92203,0,0,0,0
12,15329239,7586047,50222,50635,84639,93025,0,0,0,0
12,15303408,7583085,50286,51046,83877,92283,0,0,0,0
12,15292911,7582307,50339,50836,84479,93195,0,0,0,0
12,15296010,7581705,50285,51006,83567,92363,0,0,0,0
12,15302711,7583257,50277,50786,84258,93265,0,0,0,0
12,15301800,7585373,50332,51036,83807,92143,0,0,0,0
12,15293990,7581446,50307,50755,84468,92904,0,0,0,0
12,15303271,7582771,50342,51026,83657,92584,0,0,0,0
12,15298524,7582513,50288,50936,84178,92444,0,0,0,0
12,15300373,7582626,50282,51036,83517,92153,0,0,0,0
12,15297921,7581178,50321,50916,84329,92754,0,0,0,0
12,15293241,7581691,50256,51086,83487,92353,0,0,0,0
12,15304444,7586554,50222,50785,84308,92624,0,0,0,0
12,15303714,7585326,50268,50985,83687,92894,0,0,0,0
12,15296993,7582598,50301,50906,84219,92805,0,0,0,0
12,15299664,7583787,50352,51086,83657,92423,0,0,0,0
12,15299417,7580055,50325,51016,84258,92664,0,0,0,0
12,15289868,7579308,50329,51106,83647,92083,0,0,0,0
12,15298116,7583363,50275,50815,84148,92654,0,0,0,0
12,15306525,7585539,50294,51026,83647,92303,0,0,0,0
12,15301974,7584979,50224,50765,84208,92243,0,0,0,0
12,15298549,7582609,50291,51016,83637,92263,0,0,0,0
12,15308248,7585433,50273,50826,84128,92734,0,0,0,0
12,15288708,7579300,50371,51116,83637,92383,0,0,0,0
12,15295604,7580581,50388,51016,84358,93044,0,0,0,0
12,15296285,7581159,50244,50976,83537,91923,0,0,0,0
12,15291081,7580661,50327,50775,84498,93075,0,0,0,0
12,14869995,7369402,49165,48360,83427,93245,0,0,0,0
12,546590,254644,16845,9863,20198,2111393,0,0,0,0
