threads,ops,throughput,get_avg,get_p50,get_p99,get_p999,put_avg,put_p50,put_p99,put_p999
12,791514,385467,0,0,0,0,1242338,384678,4730680,77689824
12,943534,471444,0,0,0,0,777508,377153,5235302,10305826
12,938525,468956,0,0,0,0,859695,373060,5162768,48554261
12,940815,470133,0,0,0,0,825685,375409,5181365,10347639
12,946536,472975,0,0,0,0,876662,377980,4924765,36672980
12,944147,471767,0,0,0,0,837837,385104,4693968,10160087
12,937215,468332,0,0,0,0,805688,370219,5035044,9461221
12,940858,470137,0,0,0,0,871630,389783,4992129,35564492
12,936792,468092,0,0,0,0,813274,383099,4780830,11848555
12,939957,469704,0,0,0,0,802017,377664,4902251,11108468
12,935696,467557,0,0,0,0,842534,364163,5239580,38780499
12,942376,470884,0,0,0,0,789283,379182,4904055,9577432
12,942966,471207,0,0,0,0,795887,374277,4875287,10655840
12,940611,470013,0,0,0,0,847604,382007,4991277,20382557
12,940037,469712,0,0,0,0,812743,381316,4899826,18514844
12,949012,474228,0,0,0,0,809843,393841,4719258,9883429
12,941904,470657,0,0,0,0,807954,376066,5033000,20718203
12,945322,472353,0,0,0,0,789934,381106,4835709,10180899
12,943018,471230,0,0,0,0,796879,386437,4944094,9812558
12,945438,472425,0,0,0,0,809763,385078,4863785,13278561
12,939459,469423,0,0,0,0,810124,375128,5279830,11744188
12,935670,467562,0,0,0,0,826193,380304,5139612,15888355
12,945265,472338,0,0,0,0,784330,385995,4708978,9204572
12,944431,471906,0,0,0,0,768629,388781,4603278,7769416
12,939416,469432,0,0,0,0,791187,376542,5177446,9812527
12,943728,471571,0,0,0,0,796122,373842,4800038,11148778
12,945787,472584,0,0,0,0,784117,389102,4516506,13279673
12,940553,469999,0,0,0,0,854018,366566,5079883,22259520
12,942011,470714,0,0,0,0,766446,375294,4988231,9187658
12,963121,481244,0,0,0,0,558545,264845,4378522,12986332
12,344366,172078,0,0,0,0,145677,43105,1093639,23387626
