threads,ops,throughput,get_avg,get_p50,get_p99,get_p999,put_avg,put_p50,put_p99,put_p999
12,306551,151502,0,0,0,0,3013871,96324,10907217,580821966
12,743805,371773,0,0,0,0,1109012,95849,11171009,63941734
12,737936,368801,0,0,0,0,1031132,90749,12142260,31580304
12,748489,374097,0,0,0,0,945257,90859,10977729,24017212
12,735470,367580,0,0,0,0,1053394,93614,11441293,33494873
12,747140,373424,0,0,0,0,1048635,92407,11282758,38629077
12,746565,373151,0,0,0,0,1114317,93610,11198250,64247144
12,741970,370846,0,0,0,0,1058014,95322,11386300,32865279
12,746022,372875,0,0,0,0,1016545,94340,10395804,27848495
12,741685,370710,0,0,0,0,1015270,98323,10786652,26726493
12,735264,367495,0,0,0,0,1106157,95247,11675601,51943282
12,742887,371303,0,0,0,0,973171,94566,10051652,24541118
12,746342,373035,0,0,0,0,1039196,92963,11908855,28691928
12,736862,368294,0,0,0,0,1020260,93534,10935710,27387546
12,737295,368498,0,0,0,0,1100715,95168,12387327,31524660
12,740224,369983,0,0,0,0,961352,93664,10962851,24775916
12,744997,372354,0,0,0,0,996545,92201,10878945,26032199
12,743205,371453,0,0,0,0,1060786,93043,11667545,28546638
12,740557,370145,0,0,0,0,1066126,96340,11005821,51839498
12,742390,371054,0,0,0,0,1116122,89857,11665731,48527163
12,742392,371048,0,0,0,0,1005587,91084,10552496,31992372
12,741053,370400,0,0,0,0,1057411,94105,12468880,41654508
12,734354,367040,0,0,0,0,1052288,96465,12895935,27656097
12,735868,367792,0,0,0,0,1016468,93374,11498139,33569873
12,746796,373271,0,0,0,0,1024327,93114,10677639,33469486
12,736239,367977,0,0,0,0,1013327,94075,12009001,29445794
12,739548,369624,0,0,0,0,1073964,94356,11066645,48822022
12,738384,369062,0,0,0,0,1064432,94617,11215282,31381042
12,746296,373009,0,0,0,0,1002147,96429,10983008,22001964
12,735968,367825,0,0,0,0,861579,90458,9213540,27139434
12,482374,241102,0,0,0,0,309801,61049,3492773,31990960
