threads,ops,throughput,get_avg,get_p50,get_p99,get_p999,put_avg,put_p50,put_p99,put_p999
12,3007165,1503268,220965,89599,264639,20236326,0,0,0,0
12,4688305,2339620,162116,92113,259570,20462462,0,0,0,0
12,4748195,2366681,166926,90290,263346,20418900,0,0,0,0
12,4754394,2369828,158501,89218,257716,20118094,0,0,0,0
12,4755688,2370978,163359,87165,257275,21237263,0,0,0,0
12,4723429,2354700,165830,89068,261192,20349469,0,0,0,0
12,4730440,2358069,155903,89709,257526,20426625,0,0,0,0
12,4723353,2354931,160837,89729,260541,21162272,0,0,0,0
12,4735308,2360735,164333,89158,258868,21124550,0,0,0,0
12,4715348,2350537,164898,90661,258107,21721747,0,0,0,0
12,4710500,2348512,160155,90530,258438,20230635,0,0,0,0
12,4743408,2364738,159535,90155,260562,20393663,0,0,0,0
12,4731525,2358405,162721,89403,261022,21387196,0,0,0,0
12,4701593,2344058,165820,92299,262615,20599611,0,0,0,0
12,4692933,2339552,161501,93947,259499,20138542,0,0,0,0
12,4708498,2347079,164356,91102,258216,20360851,0,0,0,0
12,4717615,2351935,164046,90415,262605,20086424,0,0,0,0
12,4702419,2344252,172100,91292,261843,21676361,0,0,0,0
12,4682908,2334324,155390,92905,263086,20576958,0,0,0,0
12,4715185,2350874,166039,90000,258758,21094674,0,0,0,0
12,4699805,2342960,160529,91703,261173,20504351,0,0,0,0
12,4728989,2357294,162451,89609,257926,22120328,0,0,0,0
12,4698937,2342690,165539,88156,257997,21627640,0,0,0,0
12,4733053,2359548,165003,90180,260742,21337052,0,0,0,0
12,4737421,2361449,156511,89498,256804,20489454,0,0,0,0
12,4706438,2346276,165203,89539,260260,21067092,0,0,0,0
12,4705750,2345914,163636,93897,264408,20054263,0,0,0,0
12,4713339,2349452,171772,90681,261644,21533141,0,0,0,0
12,4707462,2346943,151001,91783,254650,19597291,0,0,0,0
12,4718052,2351965,155596,91863,260812,19998557,0,0,0,0
12,1507249,751312,102782,40526,224283,19359653,0,0,0,0
