threads,ops,throughput,get_avg,get_p50,get_p99,get_p999,put_avg,put_p50,put_p99,put_p999
12,10033523,5015937,64997,48441,76173,87885,0,0,0,0
12,15437917,7608219,50234,48741,75622,84669,0,0,0,0
12,15484699,7608490,50229,48752,76173,85410,0,0,0,0
12,15483756,7604991,50311,48731,75892,85661,0,0,0,0
12,15490352,7608239,50296,48731,75913,85270,0,0,0,0
12,15488833,7607476,50287,48691,75903,85761,0,0,0,0
12,15487285,7606713,50369,48751,75912,84929,0,0,0,0
12,15485127,7605671,50243,48701,75963,84929,0,0,0,0
12,15486968,7606567,50306,48772,76033,85300,0,0,0,0
12,15417829,7602480,50210,48692,75632,85360,0,0,0,0
12,15457245,7606918,50253,48672,75973,85711,0,0,0,0
12,15457130,7606856,50257,48692,75722,84148,0,0,0,0
12,15485812,7606000,50247,48741,75963,85310,0,0,0,0
12,15488166,7607156,50344,48711,75862,84949,0,0,0,0
12,15490729,7608413,50303,48742,75912,85210,0,0,0,0
12,15490255,7608181,50286,48681,75702,84588,0,0,0,0
12,15487364,7606777,50321,48731,75842,84799,0,0,0,0
12,15481675,7603986,50328,48721,76103,86011,0,0,0,0
12,15480637,7603486,50344,48731,75913,85230,0,0,0,0
12,15487849,7607036,50301,48681,75742,85591,0,0,0,0
12,15522180,7608903,50254,48752,75942,85460,0,0,0,0
12,15424003,7605568,50244,48721,75782,84228,0,0,0,0
12,15449242,7602993,50250,48752,75963,85069,0,0,0,0
12,15460557,7608568,50253,48672,76163,85401,0,0,0,0
12,15484768,7605497,50182,48681,76053,85661,0,0,0,0
12,15555362,7610293,50199,48641,76032,85420,0,0,0,0
12,15483204,7604738,50365,48672,76053,85500,0,0,0,0
12,15486106,7606153,50338,48681,75983,85150,0,0,0,0
12,15479419,7602895,50486,48712,75812,84598,0,0,0,0
12,11910216,5861179,48750,47449,75642,86963,0,0,0,0
