threads,ops,throughput,get_avg,get_p50,get_p99,get_p999,put_avg,put_p50,put_p99,put_p999
12,2532284,1265917,0,0,0,0,251934,92063,3115034,5754013
12,3845563,1919637,0,0,0,0,198385,89848,3186999,5703287
12,3872893,1931738,0,0,0,0,198604,90641,3209752,5375772
12,3834019,1912537,0,0,0,0,203400,89488,3263773,5571310
12,3827283,1909554,0,0,0,0,200791,91833,3053959,5454229
12,3826161,1908858,0,0,0,0,197261,90535,3204492,5455231
12,3830897,1911089,0,0,0,0,202750,90079,3390852,5594754
12,3840155,1915974,0,0,0,0,197445,89468,3262802,5467905
12,3826307,1908934,0,0,0,0,205896,89408,3248685,5700071
12,3844233,1917715,0,0,0,0,196224,88937,3216324,5402032
12,3832908,1912331,0,0,0,0,199057,89648,3187830,5566020
12,3814068,1902845,0,0,0,0,206203,90490,3299931,5707476
12,3826276,1908767,0,0,0,0,202924,89698,3365044,5624009
12,3821309,1906567,0,0,0,0,201768,89949,3267670,5513932
12,3780050,1885886,0,0,0,0,206259,89142,3482484,5929794
12,3825457,1908379,0,0,0,0,197755,90224,3186629,5523259
12,3828591,1910189,0,0,0,0,200987,89749,3158435,5618438
12,3830458,1911030,0,0,0,0,205009,90400,3305652,5785713
12,3822747,1906982,0,0,0,0,199004,88706,3298890,5648205
12,3817636,1904740,0,0,0,0,202725,89062,3410950,5786524
12,3823676,1907641,0,0,0,0,200230,90180,3217596,5611355
12,3827331,1909266,0,0,0,0,199292,90039,3208068,5521405
12,3844660,1918226,0,0,0,0,200367,88867,3330749,5720640
12,3832936,1912212,0,0,0,0,204971,90490,3299550,5606285
12,3855859,1923504,0,0,0,0,195102,88907,3244367,5627274
12,3798104,1894936,0,0,0,0,206227,90550,3321952,5666990
12,3821820,1906727,0,0,0,0,200367,91442,3071191,5571540
12,3845677,1918423,0,0,0,0,202089,89668,3239949,5443739
12,3825539,1908640,0,0,0,0,196195,89819,3091470,5509914
12,3843573,1917533,0,0,0,0,202236,89688,3304791,5547696
12,822330,410201,0,0,0,0,173087,80967,3168835,10086755
