threads,ops,throughput,get_avg,get_p50,get_p99,get_p999,put_avg,put_p50,put_p99,put_p999
12,13483512,6636869,82394,40906,95979,4047195,0,0,0,0
12,14740107,7249025,52462,39884,104434,4051324,0,0,0,0
12,14783322,7264827,51376,39574,103192,4047016,0,0,0,0
12,14765867,7257787,52610,39865,103453,4050322,0,0,0,0
12,14779163,7264114,51193,39594,102490,4048017,0,0,0,0
12,14786400,7267191,53377,39754,103984,4051544,0,0,0,0
12,14781123,7268056,51697,39484,103342,4049069,0,0,0,0
12,14784833,7268613,52803,39754,105226,4050973,0,0,0,0
12,14856743,7287428,52327,39484,104404,4050091,0,0,0,0
12,14793320,7273532,52151,39815,103763,4049971,0,0,0,0
12,14821368,7286474,52787,39603,104645,4050381,0,0,0,0
12,14791995,7269687,53041,39925,103503,4051814,0,0,0,0
12,14815633,7285090,52818,39654,104705,4050672,0,0,0,0
12,14723624,7281159,52140,39994,103704,4049840,0,0,0,0
12,14830280,7288709,52808,39704,104104,4051844,0,0,0,0
12,14772512,7276114,52341,40094,102842,4050352,0,0,0,0
12,14712554,7296771,52111,39894,103803,4049380,0,0,0,0
12,14636853,7257423,52352,39965,102190,4049230,0,0,0,0
12,14569678,7226323,52771,39694,104594,4050331,0,0,0,0
12,14478972,7181578,52315,39955,104455,4049700,0,0,0,0
12,14447510,7165072,53414,39533,106709,4051473,0,0,0,0
12,14374112,7130600,54221,39864,107109,4052395,0,0,0,0
12,14422394,7153530,53534,39544,105766,4051934,0,0,0,0
12,14485371,7183756,52308,39864,105086,4049270,0,0,0,0
12,14538150,7212132,53517,39654,105396,4050953,0,0,0,0
12,14600305,7241670,52975,39985,104475,4051614,0,0,0,0
12,14667046,7273392,52540,39714,103683,4051193,0,0,0,0
12,14673245,7278795,52574,39955,102611,4051213,0,0,0,0
12,14605026,7244066,51085,39233,101820,4049169,0,0,0,0
12,9239628,4579577,29364,22202,60623,4038920,0,0,0,0
2,9082,4519,7878,7539,13445,13445,0,0,0,0
