threads,ops,throughput,get_avg,get_p50,get_p99,get_p999,put_avg,put_p50,put_p99,put_p999
3,150955,75463,1382540,38171,61776,516385057,0,0,0,0
12,11062262,5016536,103149,48170,128451,4105870,0,0,0,0
12,10683218,5300929,72625,59341,133090,4118343,0,0,0,0
12,10647616,5290192,72199,59302,133862,4103356,0,0,0,0
12,10640606,5288347,71287,59301,132940,4102594,0,0,0,0
12,10613218,5274800,74276,59191,133370,4113955,0,0,0,0
12,10682837,5308475,73069,58711,132379,4119105,0,0,0,0
12,10716923,5325830,71814,58270,132288,4104478,0,0,0,0
12,10695889,5315887,71710,58900,132739,4103386,0,0,0,0
12,10712658,5322748,72062,58610,133711,4112433,0,0,0,0
12,10740086,5337819,71658,58660,133010,4103105,0,0,0,0
12,10745224,5339743,72779,58380,132258,4114136,0,0,0,0
12,10752655,5342638,71368,58049,131547,4108656,0,0,0,0
12,10759635,5347044,72539,58079,131987,4112603,0,0,0,0
12,10762731,5347902,73303,58169,132359,4123594,0,0,0,0
12,10759782,5345487,70785,58039,131958,4098407,0,0,0,0
12,10711996,5323591,72571,58320,132649,4107563,0,0,0,0
12,10711089,5322728,71352,58450,131427,4104127,0,0,0,0
12,10644414,5289159,72369,59010,131757,4109487,0,0,0,0
12,10665338,5301057,73509,58680,131858,4110960,0,0,0,0
12,10694275,5314782,72429,58480,130906,4101712,0,0,0,0
12,10645762,5289872,72098,58570,131056,4100761,0,0,0,0
12,10619766,5278441,72332,59101,131818,4095972,0,0,0,0
12,10640609,5288084,72142,58671,131307,4109427,0,0,0,0
12,10638018,5285808,72927,58560,131357,4109627,0,0,0,0
12,10621573,5278539,71645,59111,132438,4097816,0,0,0,0
12,10655690,5295895,71603,58760,131938,4099568,0,0,0,0
12,10631089,5282689,72675,58901,132349,4115098,0,0,0,0
12,10629546,5283299,71374,58960,131597,4095371,0,0,0,0
12,10667969,5301754,73075,58179,132790,4112152,0,0,0,0
12,8238448,4093759,39535,29986,92644,4055105,0,0,0,0
2,406027,202102,20497,17182,31289,1007392,0,0,0,0
