threads,ops,throughput,get_avg,get_p50,get_p99,get_p999,put_avg,put_p50,put_p99,put_p999
12,2329697,1140228,0,0,0,0,574322,234507,923519,19452904
12,2272256,1134371,0,0,0,0,342508,265423,1021661,8446766
12,2230962,1113920,0,0,0,0,355895,233034,1748754,8322615
12,2218425,1107796,0,0,0,0,341906,218567,1976627,8432769
12,2204769,1100919,0,0,0,0,355072,202242,2187570,17167852
12,2180666,1088841,0,0,0,0,348111,204159,2133470,8841351
12,2164342,1080811,0,0,0,0,353842,205282,2430221,12233011
12,2156546,1076879,0,0,0,0,352000,183382,3648689,11236937
12,2127739,1062436,0,0,0,0,350557,176663,4223077,11552224
12,2130251,1063810,0,0,0,0,352057,173223,4404706,11558686
12,2162441,1079837,0,0,0,0,356281,197713,2713298,15371740
12,2156094,1076594,0,0,0,0,355383,182079,3805771,10711940
12,2109086,1053232,0,0,0,0,350431,163004,5406199,11132072
12,2118916,1058116,0,0,0,0,367678,168524,4780705,18416887
12,2107534,1052360,0,0,0,0,378761,162101,5372345,13443673
12,2113744,1055568,0,0,0,0,369609,151902,5832071,17483921
12,2123784,1060529,0,0,0,0,346912,162046,4807495,12013733
12,2113501,1055331,0,0,0,0,353035,167161,4571686,11962818
12,2148777,1073042,0,0,0,0,354545,180756,3226443,15968311
12,2132627,1064899,0,0,0,0,364100,162492,5511434,12772494
12,2094779,1045946,0,0,0,0,364769,153881,5631588,15683320
12,2116299,1056853,0,0,0,0,356819,163073,5110970,12738291
12,2115306,1056276,0,0,0,0,360488,168974,4851967,11127985
12,2145692,1071374,0,0,0,0,344243,175356,4452514,11367170
12,2104997,1051190,0,0,0,0,373281,165939,5053171,15008385
12,2100696,1049017,0,0,0,0,375542,154598,5677424,15325995
12,2122412,1059798,0,0,0,0,347688,162332,4948878,12556933
12,2150900,1074124,0,0,0,0,364646,171710,4167715,14652772
12,2156434,1076788,0,0,0,0,354305,169065,4342409,11181925
12,1945010,971147,0,0,0,0,271574,138708,1936713,16999539
11,115270,57573,0,0,0,0,197844,59300,3538915,35951040
