threads,ops,throughput,get_avg,get_p50,get_p99,get_p999,put_avg,put_p50,put_p99,put_p999
12,6178500,3088518,109212,84198,170119,197571,0,0,0,0
12,8847813,4405358,87042,85551,171111,196549,0,0,0,0
12,8866825,4406022,86972,85571,170591,194655,0,0,0,0
12,8858158,4402701,86972,85591,170500,197340,0,0,0,0
12,8851424,4400868,87032,85441,170670,197932,0,0,0,0
12,8865160,4407087,86759,85350,170420,194756,0,0,0,0
12,8865532,4406409,86887,85410,170310,196149,0,0,0,0
12,8856952,4403547,87068,85631,170810,196780,0,0,0,0
12,8859721,4404352,86960,85501,169739,196028,0,0,0,0
12,8867275,4407281,86773,85280,170470,195327,0,0,0,0
12,8857890,4404047,86852,85260,170510,194515,0,0,0,0
12,8861509,4405247,87151,85400,171392,194446,0,0,0,0
12,8866899,4407005,86935,85470,170530,195297,0,0,0,0
12,8858152,4404154,86868,85331,170891,195868,0,0,0,0
12,8859917,4404429,86979,85401,171241,194866,0,0,0,0
12,8868535,4407878,87067,85480,171221,197401,0,0,0,0
12,8857705,4403935,87010,85300,170250,196308,0,0,0,0
12,8864051,4406421,87151,85481,170310,196719,0,0,0,0
12,8858533,4402754,86884,85320,170770,194765,0,0,0,0
12,8861291,4405686,87065,85510,171542,197250,0,0,0,0
12,8864719,4406737,86875,85370,170320,196579,0,0,0,0
12,8864244,4404031,87143,85250,170790,195898,0,0,0,0
12,8853043,4403392,87188,85821,170760,195017,0,0,0,0
12,8856772,4404406,87132,85611,170831,194895,0,0,0,0
12,8855749,4404038,87007,85139,170350,196279,0,0,0,0
12,8853577,4403918,87166,85300,171041,196659,0,0,0,0
12,8857593,4404973,87132,85550,170370,196449,0,0,0,0
12,8857428,4404439,87281,85661,170881,195116,0,0,0,0
12,8851400,4403489,87256,85601,170650,194836,0,0,0,0
12,8861230,4407898,85492,83066,170801,201618,0,0,0,0
12,1078963,521920,38700,16255,83627,7375345,0,0,0,0
