threads,ops,throughput,get_avg,get_p50,get_p99,get_p999,put_avg,put_p50,put_p99,put_p999
12,10761750,5379895,59533,49994,79059,88457,0,0,0,0
12,15318586,7605125,50265,50515,79019,87926,0,0,0,0
12,15354443,7599708,50233,50306,78979,87986,0,0,0,0
12,15344685,7603247,50288,50536,79290,88176,0,0,0,0
12,15334977,7601676,50219,50315,79080,87766,0,0,0,0
12,15342632,7605091,50246,50535,79129,88207,0,0,0,0
12,15332777,7598782,50236,50285,78910,87315,0,0,0,0
12,15333048,7600850,50310,50525,79390,88317,0,0,0,0
12,15335214,7601644,50225,50285,78739,87626,0,0,0,0
12,15334420,7599639,50288,50575,79270,88447,0,0,0,0
12,15339617,7604053,50263,50326,79000,87655,0,0,0,0
12,15344403,7605684,50225,50506,79069,88147,0,0,0,0
12,15338324,7601346,50241,50315,78980,88317,0,0,0,0
12,15330100,7599511,50283,50526,79279,88427,0,0,0,0
12,15337586,7602595,50193,50285,78809,87826,0,0,0,0
12,15338215,7601312,50250,50526,79500,88808,0,0,0,0
12,15337825,7603381,50199,50325,78869,87986,0,0,0,0
12,15329420,7597009,50285,50515,79330,88417,0,0,0,0
12,15338277,7600951,50265,50335,78919,88708,0,0,0,0
12,15339574,7604945,50228,50546,79160,88518,0,0,0,0
12,15338407,7603091,50264,50365,78709,87776,0,0,0,0
12,15343025,7603111,50215,50536,79320,88327,0,0,0,0
12,15331905,7601033,50316,50345,78909,87907,0,0,0,0
12,15345307,7604967,50199,50526,79160,87976,0,0,0,0
12,15334010,7597649,50290,50356,78909,87275,0,0,0,0
12,15325815,7598287,50221,50536,79190,88367,0,0,0,0
12,15333690,7600196,50273,50355,78970,88056,0,0,0,0
12,15345981,7604015,50246,50575,79200,88327,0,0,0,0
12,15330044,7599769,50226,50335,78759,87916,0,0,0,0
12,14578706,7224765,49247,49533,78839,90101,0,0,0,0
12,260709,126114,16969,8325,15870,1566633,0,0,0,0
