threads,ops,throughput,get_avg,get_p50,get_p99,get_p999,put_avg,put_p50,put_p99,put_p999
12,2579343,1289397,0,0,0,0,229145,89728,2627968,4427733
12,3780486,1887037,0,0,0,0,204578,89959,2754576,4423285
12,3777223,1883970,0,0,0,0,206413,90930,2721924,4403818
12,3775975,1883650,0,0,0,0,203603,91466,2616827,4335269
12,3775961,1883966,0,0,0,0,204289,91717,2527770,4024297
12,3788397,1890025,0,0,0,0,206118,91426,2719419,4451017
12,3798324,1894834,0,0,0,0,202914,91672,2633839,4151695
12,3802380,1897033,0,0,0,0,203122,91792,2662482,4088978
12,3777316,1884517,0,0,0,0,201705,89839,2712606,4344978
12,3775664,1883519,0,0,0,0,202694,90810,2643387,4453702
12,3787653,1889808,0,0,0,0,199844,91090,2652945,4370456
12,3784333,1888037,0,0,0,0,204676,90039,2814979,4573627
12,3786619,1888956,0,0,0,0,204277,89818,2726192,4453882
12,3798540,1895239,0,0,0,0,202507,91301,2634390,4252354
12,3791508,1891584,0,0,0,0,199866,90189,2644919,4451888
12,3787600,1889457,0,0,0,0,202386,89728,2743364,4519435
12,3786749,1889324,0,0,0,0,201531,90300,2730080,4377699
12,3788526,1890103,0,0,0,0,203336,91101,2727725,4470874
12,3782077,1886719,0,0,0,0,204926,90871,2739006,4551876
12,3771254,1881606,0,0,0,0,206720,88165,2859222,4546736
12,3778782,1885220,0,0,0,0,205605,91211,2657503,4378110
12,3771962,1881653,0,0,0,0,204952,88426,2928842,4567765
12,3783620,1887803,0,0,0,0,203750,87424,3012319,4628549
12,3772349,1882044,0,0,0,0,201839,89908,2777288,4571813
12,3771070,1881219,0,0,0,0,202650,89568,2781095,4525346
12,3785783,1888870,0,0,0,0,203693,88075,2856496,4600466
12,3777168,1884383,0,0,0,0,204203,88185,2902122,4624321
12,3783448,1887381,0,0,0,0,205325,88366,2890300,4638107
12,3793946,1892941,0,0,0,0,199821,89979,2723097,4386615
12,3775099,1883361,0,0,0,0,205620,87665,2936577,4610987
12,976061,486916,0,0,0,0,125374,54291,1654212,8612390
