threads,ops,throughput,get_avg,get_p50,get_p99,get_p999,put_avg,put_p50,put_p99,put_p999
12,860198,430002,0,0,0,0,705270,54938,18688800,30423371
12,1198224,598735,0,0,0,0,617947,52529,18629399,25220607
12,1187657,593336,0,0,0,0,652555,51577,19341095,21393797
12,1195915,597524,0,0,0,0,590480,51897,18450564,21761928
12,1201303,600255,0,0,0,0,651827,52438,18697657,24340316
12,1188096,593631,0,0,0,0,684142,52208,19323041,22008540
12,1196147,597641,0,0,0,0,634901,52949,18554508,26975250
12,1199056,599134,0,0,0,0,655222,53636,18801952,22172878
12,1178502,588844,0,0,0,0,627889,51477,18438681,21560369
12,1185327,592240,0,0,0,0,662223,51887,19007609,21612877
12,1187606,593415,0,0,0,0,631029,52568,18797996,21600705
12,1198106,598643,0,0,0,0,686707,52989,18746018,21425837
12,1201261,600195,0,0,0,0,656195,53530,18287627,21222315
12,1198540,598875,0,0,0,0,647033,53020,19046091,21830116
12,1190283,594733,0,0,0,0,637544,52919,18627355,21918400
12,1200493,599810,0,0,0,0,639212,52679,18820378,24628667
12,1187932,593576,0,0,0,0,618436,52048,18716873,21899135
12,1199857,599515,0,0,0,0,678923,53721,18720330,21898453
12,1186250,592693,0,0,0,0,619656,53310,17927392,21976601
12,1186542,592883,0,0,0,0,667800,52519,18829995,26850195
12,1203169,601170,0,0,0,0,613640,52659,18379680,21456093
12,1193639,596386,0,0,0,0,660724,53150,18627856,22663179
12,1194177,596697,0,0,0,0,605927,51887,18664535,21286835
12,1192562,595870,0,0,0,0,619290,53801,18151793,23805061
12,1193475,596304,0,0,0,0,680670,51948,19239814,21813764
12,1188116,593667,0,0,0,0,646255,52889,18194873,21226853
12,1187949,593560,0,0,0,0,644230,52854,18887223,21465290
12,1195148,597141,0,0,0,0,671200,54102,18209762,23061997
12,1191746,595482,0,0,0,0,660491,52358,19079423,21490398
12,1186179,592680,0,0,0,0,696996,53470,18895769,26283723
12,318321,159043,0,0,0,0,517816,51376,14836972,21985097
