threads,ops,throughput,get_avg,get_p50,get_p99,get_p999,put_avg,put_p50,put_p99,put_p999
12,1024816,512320,0,0,0,0,573630,80299,12266767,20040560
12,1487398,743135,0,0,0,0,476327,79848,12470696,16298022
12,1486233,742393,0,0,0,0,513313,80289,12601179,16351582
12,1491179,744946,0,0,0,0,482509,79983,12682731,16340050
12,1479101,738963,0,0,0,0,510110,78406,12906366,16415079
12,1494817,746780,0,0,0,0,490283,80780,12586191,16360940
12,1484270,741499,0,0,0,0,514317,79698,12813975,16451778
12,1476933,737887,0,0,0,0,516150,79212,12558019,16274749
12,1474152,736460,0,0,0,0,529017,79418,12981816,16259771
12,1483991,741356,0,0,0,0,478980,79057,12329564,16428515
12,1484512,741675,0,0,0,0,497889,80560,12510600,16278476
12,1492316,745540,0,0,0,0,505674,79648,12628059,16060170
12,1476647,737683,0,0,0,0,510789,80439,12751298,16373844
12,1488281,743559,0,0,0,0,546767,80751,13009107,16801939
12,1489637,744193,0,0,0,0,532938,81226,12781494,16473949
12,1488658,743681,0,0,0,0,515945,78702,12628589,16121635
12,1457545,728197,0,0,0,0,548981,80560,11852316,21191070
12,1495683,747218,0,0,0,0,500263,79828,12630102,16356561
12,1481668,740189,0,0,0,0,516312,81156,12820797,16370487
12,1497977,748400,0,0,0,0,523209,80309,12611328,16456728
12,1462985,730879,0,0,0,0,532450,79944,12405304,19928813
12,1479311,739021,0,0,0,0,514832,79508,12581352,16766203
12,1480643,739740,0,0,0,0,560472,81160,12822570,18609420
12,1480712,739734,0,0,0,0,492782,79157,12710542,16331764
12,1480761,739738,0,0,0,0,504537,79267,12543481,16328960
12,1489042,743940,0,0,0,0,495716,80069,12655710,16400142
12,1484665,741709,0,0,0,0,532263,79458,12773729,16543658
12,1477440,738077,0,0,0,0,526356,81251,12767849,18565007
12,1480104,739472,0,0,0,0,517865,78576,12375680,18459981
12,1479483,739121,0,0,0,0,528358,81862,12810958,16532519
12,463440,231517,0,0,0,0,339634,63759,11274422,15922334
