threads,ops,throughput,get_avg,get_p50,get_p99,get_p999,put_avg,put_p50,put_p99,put_p999
12,1679403,839533,379887,236342,1541122,4196370,0,0,0,0
12,2449103,1223183,313899,251871,1276808,2241964,0,0,0,0
12,2457998,1226992,314366,252627,1257191,2200446,0,0,0,0
12,2446533,1221419,315477,245780,1358691,3064593,0,0,0,0
12,2450941,1223759,312365,247293,1252443,2966328,0,0,0,0
12,2451770,1224083,314844,249772,1332523,2769390,0,0,0,0
12,2453430,1224853,315723,250799,1263433,2377297,0,0,0,0
12,2449784,1223183,315966,247313,1363962,3177624,0,0,0,0
12,2454848,1225622,313069,250259,1227175,2768158,0,0,0,0
12,2454577,1225428,313518,252627,1222948,2348012,0,0,0,0
12,2452605,1224582,313642,249692,1280745,2278261,0,0,0,0
12,2454750,1225592,312900,245469,1332372,2655197,0,0,0,0
12,2456788,1226534,312949,255057,1117901,1939669,0,0,0,0
12,2449809,1223187,313325,253033,1184296,2265858,0,0,0,0
12,2450219,1223325,315635,252792,1225262,2437189,0,0,0,0
12,2451987,1224129,312819,248695,1211716,2454361,0,0,0,0
12,2449911,1223242,312950,249808,1217438,2574656,0,0,0,0
12,2450190,1223305,311447,252011,1180087,2205676,0,0,0,0
12,2454344,1225312,313620,248054,1265357,2692807,0,0,0,0
12,2453328,1224946,311261,251641,1191809,2130165,0,0,0,0
12,2453616,1225019,311519,244678,1280696,2394018,0,0,0,0
12,2451862,1224069,313323,250042,1285405,2584945,0,0,0,0
12,2455966,1226263,315662,248826,1289001,2796030,0,0,0,0
12,2447618,1222019,311968,249417,1247233,2728053,0,0,0,0
12,2453052,1224669,313332,250198,1228949,2945640,0,0,0,0
12,2456172,1226357,311102,247322,1224440,2350326,0,0,0,0
12,2450395,1223405,313229,245849,1310090,3021311,0,0,0,0
12,2455877,1226069,312914,246331,1359313,2694290,0,0,0,0
12,2453193,1224872,312722,250674,1214492,2625571,0,0,0,0
12,2454175,1225295,311871,251560,1195897,2121579,0,0,0,0
12,697260,348096,199938,92538,1718284,6716453,0,0,0,0
