threads,ops,throughput,get_avg,get_p50,get_p99,get_p999,put_avg,put_p50,put_p99,put_p999
12,1137724,568691,540951,130086,14959281,20866287,0,0,0,0
12,1598678,798626,454458,119486,8971902,20212329,0,0,0,0
12,1624857,811523,494811,136764,16108056,20105376,0,0,0,0
12,1621672,810085,469753,136468,14330811,20379395,0,0,0,0
12,1610329,804464,477886,133838,11817411,20334320,0,0,0,0
12,1613722,806126,469090,126940,14121554,20307579,0,0,0,0
12,1604104,801308,520685,130006,17557050,20748474,0,0,0,0
12,1629789,814184,469354,125582,15021679,20435792,0,0,0,0
12,1628217,813367,490591,141969,17103671,20231815,0,0,0,0
12,1606091,802299,518419,143572,17730609,20361362,0,0,0,0
12,1604919,801764,489588,130046,16220449,20507638,0,0,0,0
12,1610647,804592,456831,134650,9674742,20317348,0,0,0,0
12,1621241,809869,478548,138668,13388315,20249880,0,0,0,0
12,1601922,800248,479262,144483,15885224,20188103,0,0,0,0
12,1615715,807129,507863,127937,17055390,20760728,0,0,0,0
12,1612372,805434,471595,140977,12901894,20425994,0,0,0,0
12,1609888,804240,490424,130908,16960360,20217548,0,0,0,0
12,1600377,799461,473674,130116,12517707,20378203,0,0,0,0
12,1584266,791405,484481,132531,14294100,20469656,0,0,0,0
12,1583938,791282,463548,134174,13582934,20833956,0,0,0,0
12,1608102,803319,466897,133142,12150161,20159489,0,0,0,0
12,1604808,801661,490579,129520,17004254,20685164,0,0,0,0
12,1614490,806597,477354,138703,13740893,20250682,0,0,0,0
12,1595011,796729,475997,137440,12040974,20563534,0,0,0,0
12,1613183,805829,504924,136779,16764259,20350811,0,0,0,0
12,1635314,816930,451099,148361,6575663,20353275,0,0,0,0
12,1615148,806823,504839,144073,17076259,20516595,0,0,0,0
12,1585084,791807,469510,138332,14571406,20490796,0,0,0,0
12,1562274,780534,481611,120008,14924164,20474154,0,0,0,0
12,1601511,799993,471300,133553,14545607,20264838,0,0,0,0
12,382655,191145,364873,69872,6940695,20137397,0,0,0,0
