threads,ops,throughput,get_avg,get_p50,get_p99,get_p999,put_avg,put_p50,put_p99,put_p999
12,1240867,620301,0,0,0,0,475114,78658,10573699,14128302
12,1480928,739732,0,0,0,0,514170,88150,11124182,14214183
12,1490577,744492,0,0,0,0,521710,87419,11232565,14455215
12,1489789,744233,0,0,0,0,506206,92724,9745024,13329693
12,1480060,739414,0,0,0,0,524019,87524,11383900,13726728
12,1472783,735731,0,0,0,0,536467,86161,11355657,14216016
12,1487433,743057,0,0,0,0,492456,90239,10575863,13858465
12,1478317,738533,0,0,0,0,518581,88937,10807558,13671905
12,1454302,726499,0,0,0,0,524943,81864,11690856,15254356
12,1490885,744769,0,0,0,0,522068,87354,11210254,13681083
12,1480832,739775,0,0,0,0,514960,87875,10987215,14382279
12,1472275,735469,0,0,0,0,550051,88361,11491221,15161201
12,1465568,732234,0,0,0,0,528002,84578,11479540,15301995
12,1464522,731585,0,0,0,0,512513,85932,11191428,15209842
12,1452853,725752,0,0,0,0,518452,83607,11754035,15937007
12,1449596,724123,0,0,0,0,530997,81067,11877637,15616316
12,1463435,731095,0,0,0,0,536844,84057,11551635,14424157
12,1459608,729139,0,0,0,0,525331,83246,11477415,14787459
12,1448440,723557,0,0,0,0,554656,82259,11873709,15315210
12,1474506,736621,0,0,0,0,521998,89307,10804913,14331063
12,1459917,729288,0,0,0,0,522872,85411,11253566,14781819
12,1482857,740755,0,0,0,0,542244,90139,11452589,13409603
12,1497116,747919,0,0,0,0,543363,91772,11246673,13526532
12,1490295,744465,0,0,0,0,539849,91602,10734461,13794084
12,1480616,739631,0,0,0,0,506040,88426,10617110,13511273
12,1467570,733153,0,0,0,0,515610,85700,11285866,16111144
12,1497496,748090,0,0,0,0,499375,92654,10451440,12734094
12,1479920,739271,0,0,0,0,509036,87615,10871718,13962581
12,1466617,732683,0,0,0,0,533638,88451,10994219,14304012
12,1475177,736927,0,0,0,0,516484,88907,11278052,14380926
12,338411,169050,0,0,0,0,378958,91346,8586419,14427844
