threads,ops,throughput,get_avg,get_p50,get_p99,get_p999,put_avg,put_p50,put_p99,put_p999
12,1174227,586969,571316,190598,2169079,20436131,0,0,0,0
12,1672897,835815,430696,199886,1817488,19910142,0,0,0,0
12,1679860,838937,450390,190152,2195949,20329911,0,0,0,0
12,1670636,834326,461685,202350,1730003,20269978,0,0,0,0
12,1668547,833441,482654,204745,2406004,20261453,0,0,0,0
12,1666996,832693,452663,197316,2052229,20221938,0,0,0,0
12,1689848,843932,424218,195708,1796569,20037051,0,0,0,0
12,1683081,840692,458472,202802,1976537,20137199,0,0,0,0
12,1677128,837743,450725,205411,1828017,20224804,0,0,0,0
12,1676760,837576,466814,206549,2130346,20251053,0,0,0,0
12,1679804,838962,450489,201513,2005251,20157687,0,0,0,0
12,1698316,848278,462855,187553,2888001,20168017,0,0,0,0
12,1671372,834849,446576,210065,1756063,20130156,0,0,0,0
12,1689095,843600,471539,202300,2184278,20238519,0,0,0,0
12,1674244,836247,452505,199064,2398881,20193705,0,0,0,0
12,1676450,837384,458841,209214,1872602,20234722,0,0,0,0
12,1685308,841706,435135,189436,2236436,20054844,0,0,0,0
12,1668686,833474,472496,204304,2539185,20227759,0,0,0,0
12,1684870,841615,456297,203673,1952702,20188646,0,0,0,0
12,1663853,830974,455002,205852,1912967,20154982,0,0,0,0
12,1662540,830407,469224,207410,1777172,20132950,0,0,0,0
12,1656996,827676,470479,213241,1729803,20156044,0,0,0,0
12,1662467,830296,466266,209614,2002746,20120758,0,0,0,0
12,1662996,830627,458249,212865,1813570,20097714,0,0,0,0
12,1675922,837121,477307,211357,1938556,20278003,0,0,0,0
12,1668921,833509,468494,214894,1820914,20204325,0,0,0,0
12,1655205,826730,468276,198598,2109386,20244250,0,0,0,0
12,1693234,845786,464058,203052,2083047,20353265,0,0,0,0
12,1664214,831157,475108,212203,2017053,20213462,0,0,0,0
12,1679903,839076,447575,206358,1747917,20112102,0,0,0,0
12,408216,203904,351822,67342,5610681,20100129,0,0,0,0
