threads,ops,throughput,get_avg,get_p50,get_p99,get_p999,put_avg,put_p50,put_p99,put_p999
12,2143370,1071498,278441,52414,7713536,9002066,0,0,0,0
12,2771071,1383495,265934,49383,7777235,8927086,0,0,0,0
12,2768758,1381858,282000,49653,8011595,9067379,0,0,0,0
12,2793986,1394625,280009,49883,8065216,9050518,0,0,0,0
12,2792773,1394162,274738,50174,7934461,8925021,0,0,0,0
12,2786990,1391178,281477,50034,8031824,8965268,0,0,0,0
12,2781442,1388368,284736,50164,8032535,8990025,0,0,0,0
12,2778130,1386865,281481,50004,8022726,8971629,0,0,0,0
12,2782673,1389068,271481,49994,7927026,8878474,0,0,0,0
12,2760603,1377968,275165,49187,7973304,8913430,0,0,0,0
12,2768934,1382282,298742,49063,8156388,8955629,0,0,0,0
12,2773892,1384684,268145,48831,8078661,9005122,0,0,0,0
12,2746955,1371195,274294,48831,8111754,9008018,0,0,0,0
12,2777088,1386374,284083,49784,7952023,9045138,0,0,0,0
12,2792095,1393772,286137,49794,8014281,9044106,0,0,0,0
12,2790177,1392713,279612,49914,7934280,9083921,0,0,0,0
12,2773442,1384508,293862,49643,8122504,9014090,0,0,0,0
12,2782205,1388819,272054,49718,8021073,8972070,0,0,0,0
12,2772524,1383915,275303,49573,7860412,8959647,0,0,0,0
12,2764621,1380123,302852,49839,8153923,8992780,0,0,0,0
12,2791363,1393398,292733,49768,8107195,9124327,0,0,0,0
12,2760172,1377736,280994,49603,8058534,9007287,0,0,0,0
12,2787990,1391807,276658,49834,7910857,8997488,0,0,0,0
12,2786995,1391214,286488,49683,8072620,9014561,0,0,0,0
12,2786557,1390908,278789,49182,8037484,8970788,0,0,0,0
12,2771822,1383704,288292,49342,8010223,9021965,0,0,0,0
12,2777886,1386676,278785,49774,7964838,8942244,0,0,0,0
12,2766246,1380771,270425,49648,7975628,9012476,0,0,0,0
12,2782894,1389246,272675,49884,7800368,8903041,0,0,0,0
12,2777335,1386392,274675,49904,8097748,9050859,0,0,0,0
12,509587,254361,242941,52689,7490235,9450029,0,0,0,0
