threads,ops,throughput,get_avg,get_p50,get_p99,get_p999,put_avg,put_p50,put_p99,put_p999
12,175928,87960,660612,558821,1066737,20179931,0,0,0,0
12,1470809,735302,530665,454836,4027486,12257368,0,0,0,0
12,1594092,796372,485185,424067,4246168,6457637,0,0,0,0
12,1594159,796360,480380,423747,3882172,6000708,0,0,0,0
12,1597802,798186,484407,422836,4233344,6247483,0,0,0,0
12,1598483,798529,486237,422965,4357988,5864471,0,0,0,0
12,1597135,797856,484147,423316,4331157,6326310,0,0,0,0
12,1599015,798802,488933,423116,4344583,6397514,0,0,0,0
12,1591822,795202,486271,422775,4185062,6213247,0,0,0,0
12,1597515,798044,479747,423206,4027786,5864131,0,0,0,0
12,1595941,797253,482244,423176,4111114,6296414,0,0,0,0
12,1597733,798155,486715,423386,4351727,6384670,0,0,0,0
12,1596390,797474,486387,423847,4316079,6143166,0,0,0,0
12,1592645,795615,484175,423396,4258651,6122106,0,0,0,0
12,1597444,798015,475799,423526,3881732,5892424,0,0,0,0
12,1596320,797444,479305,423837,4038627,6082201,0,0,0,0
12,1595688,797133,483114,423637,4255245,6213358,0,0,0,0
12,1596629,797631,480902,424028,3980999,6044521,0,0,0,0
12,1595275,796990,476645,423837,3814465,5914075,0,0,0,0
12,1593438,796092,481638,423611,4232882,5759605,0,0,0,0
12,1595517,797120,477919,424258,3746258,5907323,0,0,0,0
12,1595121,796915,482409,424339,4138064,6174885,0,0,0,0
12,1595071,796908,477253,424018,3706082,6173543,0,0,0,0
12,1595022,796860,484985,423777,4230258,6124111,0,0,0,0
12,1593618,796172,481359,424077,3964337,6152684,0,0,0,0
12,1594721,796714,485623,423987,4305890,5951906,0,0,0,0
12,1595554,797127,482906,424098,4238053,5714940,0,0,0,0
12,1592948,795849,486202,423827,4336287,6394478,0,0,0,0
12,1594776,796737,472420,423717,3425544,5865163,0,0,0,0
12,1595485,797101,480279,423907,3948438,6129209,0,0,0,0
12,1595234,796989,483869,423717,4303766,5993544,0,0,0,0
12,520173,259881,492750,414259,4100123,12907040,0,0,0,0
