threads,ops,throughput,get_avg,get_p50,get_p99,get_p999,put_avg,put_p50,put_p99,put_p999
12,2886096,1442994,261207,224142,270198,8238914,0,0,0,0
12,3002863,1498801,251878,223530,263355,8218095,0,0,0,0
12,2990073,1492495,259531,223591,264117,8247189,0,0,0,0
12,2981593,1488278,255735,223640,262364,8238142,0,0,0,0
12,2975146,1485073,260526,223661,264267,8233323,0,0,0,0
12,2951511,1473279,264491,223851,263015,8243722,0,0,0,0
12,3010715,1502848,253236,223911,263656,7348809,0,0,0,0
12,2992340,1493618,256041,223691,262634,8228384,0,0,0,0
12,2976115,1485357,262918,223690,263826,8246899,0,0,0,0
12,2957347,1476187,258588,223730,264337,8238553,0,0,0,0
12,2973676,1484348,258509,223700,264948,8236669,0,0,0,0
12,3011582,1503262,251762,223710,261471,8213626,0,0,0,0
12,3018028,1506446,251648,223705,262243,8211392,0,0,0,0
12,2964301,1479619,262412,223671,265319,8230447,0,0,0,0
12,3004627,1499799,259391,223630,263215,8238713,0,0,0,0
12,2985923,1490430,256989,223831,263316,8230558,0,0,0,0
12,2991596,1493277,259697,224021,263555,8237070,0,0,0,0
12,2941304,1468163,256959,223871,262844,8248732,0,0,0,0
12,2983091,1489076,257672,224111,264327,8228725,0,0,0,0
12,3014148,1504540,258615,224201,263887,8237761,0,0,0,0
12,2993301,1494106,254364,224132,262443,8235928,0,0,0,0
12,2941841,1468438,263231,223921,263576,8238422,0,0,0,0
12,2987674,1491366,261497,223871,264898,8243953,0,0,0,0
12,3019345,1507129,253479,224002,262554,8237300,0,0,0,0
12,2987211,1491066,257793,224387,262955,8230528,0,0,0,0
12,3017287,1506101,254320,224301,263205,8213316,0,0,0,0
12,2999679,1497257,252279,224031,263476,8066810,0,0,0,0
12,2980416,1487644,258763,224171,264176,8241679,0,0,0,0
12,2999376,1497159,256607,224442,263726,8237180,0,0,0,0
12,3005336,1500107,254725,224252,264327,8199520,0,0,0,0
9,430422,214849,233182,213922,252424,4230295,0,0,0,0
