threads,ops,throughput,get_avg,get_p50,get_p99,get_p999,put_avg,put_p50,put_p99,put_p999
12,1382327,691147,320177,271161,577387,10599738,0,0,0,0
12,2619060,1308472,294563,258182,312433,6503755,0,0,0,0
12,2623236,1309592,294094,257500,311792,6628017,0,0,0,0
12,2620144,1308102,290655,257881,309869,6618179,0,0,0,0
12,2612466,1304289,296803,257862,315199,6853658,0,0,0,0
12,2620306,1308192,292199,257942,312693,5680770,0,0,0,0
12,2597727,1296908,293673,258152,314136,6342234,0,0,0,0
12,2620500,1308284,290507,258021,308696,6308080,0,0,0,0
12,2621304,1308696,293091,257971,314717,6010074,0,0,0,0
12,2618413,1307232,289383,258151,311742,5281715,0,0,0,0
12,2605347,1300724,293940,257871,314507,6325262,0,0,0,0
12,2619364,1307717,294967,258112,317111,6134547,0,0,0,0
12,2621528,1308805,295432,257962,313976,6378191,0,0,0,0
12,2620579,1308332,291245,258122,309598,6333417,0,0,0,0
12,2620865,1308454,295390,258031,318183,6478990,0,0,0,0
12,2621668,1308871,292848,257611,310179,6153021,0,0,0,0
12,2621613,1308839,293957,257941,315509,6315785,0,0,0,0
12,2617192,1306624,296494,258222,327982,6265832,0,0,0,0
12,2619959,1307996,293544,258032,314406,6280439,0,0,0,0
12,2617826,1306935,290000,258372,310620,5889950,0,0,0,0
12,2621386,1308717,291742,258096,311562,5878478,0,0,0,0
12,2617205,1306634,294516,257951,313856,6214025,0,0,0,0
12,2620289,1308181,291697,257932,311441,6292852,0,0,0,0
12,2619512,1307786,294252,258252,313105,6188177,0,0,0,0
12,2613248,1304620,295495,258206,314206,6448472,0,0,0,0
12,2607348,1301708,296457,258197,318614,6428455,0,0,0,0
12,2617837,1306959,290970,258112,309227,5960061,0,0,0,0
12,2615018,1305550,297743,258367,318093,6375827,0,0,0,0
12,2618171,1307114,295292,258352,315489,6034260,0,0,0,0
12,2616288,1306180,290920,258432,310569,6129537,0,0,0,0
12,1488320,743037,294270,255347,310800,6682028,0,0,0,0
