threads,ops,throughput,get_avg,get_p50,get_p99,get_p999,put_avg,put_p50,put_p99,put_p999
12,2366516,1183213,270111,231235,327445,8079583,0,0,0,0
12,2912009,1453869,262375,229201,273123,8214056,0,0,0,0
12,2940222,1467653,261168,229030,270478,8229946,0,0,0,0
12,2911888,1453380,264090,228830,273635,8242690,0,0,0,0
12,2934516,1464846,258318,228920,268866,8223985,0,0,0,0
12,2942017,1468582,260373,229081,270528,8191543,0,0,0,0
12,2916778,1455961,266253,229060,273113,8220248,0,0,0,0
12,2926109,1460647,264441,228800,269767,8244654,0,0,0,0
12,2954628,1474873,256806,228930,269366,8194509,0,0,0,0
12,2931650,1463382,262016,229010,269727,8243741,0,0,0,0
12,2932726,1463943,262637,228890,269026,8224586,0,0,0,0
12,2949242,1472194,260500,229230,270618,8206371,0,0,0,0
12,2950058,1472569,257821,228840,269707,8200921,0,0,0,0
12,2955100,1475088,257340,228920,269115,8224766,0,0,0,0
12,2954594,1474838,258914,228790,269426,8224015,0,0,0,0
12,2924974,1460039,261409,228971,270749,8227982,0,0,0,0
12,2936834,1465990,259934,229090,268715,8219346,0,0,0,0
12,2928035,1461594,264440,229050,269877,8293315,0,0,0,0
12,2933914,1464474,261576,229151,270718,8233743,0,0,0,0
12,2934269,1464679,260239,229211,271059,8220989,0,0,0,0
12,2922431,1458740,261670,229542,269817,8240375,0,0,0,0
12,2911378,1453295,264522,228981,270508,8231248,0,0,0,0
12,2900262,1447752,263999,229331,270638,8252368,0,0,0,0
12,2947612,1471393,261686,229431,269456,8203095,0,0,0,0
12,2915579,1455368,263400,229291,269938,8230607,0,0,0,0
12,2929191,1462191,265012,229406,272743,8216210,0,0,0,0
12,2927097,1461128,257712,229180,269587,8196342,0,0,0,0
12,2928897,1462024,266009,229451,270969,8250745,0,0,0,0
12,2941034,1468083,261255,229311,268364,8239273,0,0,0,0
12,2941240,1468188,259499,229311,269987,7758249,0,0,0,0
12,1140871,569483,250852,224873,265298,7055018,0,0,0,0
