threads,ops,throughput,get_avg,get_p50,get_p99,get_p999,put_avg,put_p50,put_p99,put_p999
12,72859,36427,78507,75120,108002,682537,0,0,0,0
12,10098176,5048690,75684,73718,107141,189144,0,0,0,0
12,10135022,5034312,75803,73789,107010,185427,0,0,0,0
12,10134930,5035299,75820,73919,107451,185888,0,0,0,0
12,10119698,5028314,75863,73848,107281,185918,0,0,0,0
12,10131669,5033825,75857,73898,108352,187451,0,0,0,0
12,10117087,5030028,75911,73918,107832,184585,0,0,0,0
12,10111805,5026214,75978,74059,108884,187230,0,0,0,0
12,10112859,5026846,75949,73989,108262,185557,0,0,0,0
12,10130328,5035154,75847,73959,108433,186919,0,0,0,0
12,10109983,5025616,76023,73988,108904,185757,0,0,0,0
12,10118662,5029574,75947,74048,108944,184785,0,0,0,0
12,10092634,5016489,76160,74139,109054,185267,0,0,0,0
12,10101644,5022101,76048,74149,110297,186148,0,0,0,0
12,10093132,5016546,76206,74129,110497,188092,0,0,0,0
12,10098335,5020771,76104,74159,110156,185687,0,0,0,0
12,10095853,5019283,76059,74089,109264,185707,0,0,0,0
12,10090893,5017284,76262,74209,109575,186620,0,0,0,0
12,10096866,5019510,76076,74019,108864,186569,0,0,0,0
12,10106315,5024335,76058,74109,109355,184135,0,0,0,0
12,10098169,5019490,76146,74049,109094,185768,0,0,0,0
12,10093685,5018093,76112,74218,109415,186399,0,0,0,0
12,10090802,5015199,76105,74128,109435,184255,0,0,0,0
12,10105088,5022512,76045,74159,109405,183664,0,0,0,0
12,10093437,5018066,76111,74129,109375,185217,0,0,0,0
12,10102386,5021366,76028,74139,109535,185898,0,0,0,0
12,10107937,5024391,76006,73958,109515,186960,0,0,0,0
12,10089582,5015694,76125,74189,110256,186819,0,0,0,0
12,10091431,5016482,76113,74158,108383,185027,0,0,0,0
12,10111232,5026020,76027,74179,109204,183333,0,0,0,0
12,8963394,4455715,74649,73898,109675,186739,0,0,0,0
