threads,ops,throughput,get_avg,get_p50,get_p99,get_p999,put_avg,put_p50,put_p99,put_p999
12,5840066,2919914,70847,69320,98636,118923,0,0,0,0
12,10807673,5384205,71048,69311,98786,117421,0,0,0,0
12,10841703,5382675,70846,69420,99157,119264,0,0,0,0
12,10836546,5385449,70818,69270,98615,117611,0,0,0,0
12,10846123,5390511,70797,69360,98806,118222,0,0,0,0
12,10843107,5388806,70809,69300,98185,114806,0,0,0,0
12,10845671,5390604,70797,69371,98545,115858,0,0,0,0
12,10850616,5392931,70738,69280,97674,114586,0,0,0,0
12,10864954,5400044,70697,69320,97754,112912,0,0,0,0
12,10863631,5398865,70708,69270,97384,110898,0,0,0,0
12,10862539,5398942,70689,69371,97784,111630,0,0,0,0
12,10862581,5398990,70688,69240,97323,110067,0,0,0,0
12,10865474,5400382,70680,69331,97924,112341,0,0,0,0
12,10854271,5394832,70715,69280,97493,112722,0,0,0,0
12,10857802,5396392,70748,69361,98034,113734,0,0,0,0
12,10850333,5392549,70804,69280,97934,114776,0,0,0,0
12,10860524,5397909,70711,69370,97574,112892,0,0,0,0
12,10850330,5392839,70771,69330,97694,112341,0,0,0,0
12,10852853,5394003,70766,69370,98395,115918,0,0,0,0
12,10852357,5393763,70699,69300,97353,111870,0,0,0,0
12,10856049,5395712,70726,69340,98495,115067,0,0,0,0
12,10848166,5391658,70789,69331,97894,112862,0,0,0,0
12,10842676,5388958,70797,69431,98505,114405,0,0,0,0
12,10833830,5384143,70901,69410,98405,115697,0,0,0,0
12,10838978,5386892,70821,69491,98385,117851,0,0,0,0
12,10839044,5386851,70864,69391,98045,113724,0,0,0,0
12,10832433,5383519,70908,69491,99087,119725,0,0,0,0
12,10830312,5381327,70940,69420,97914,113954,0,0,0,0
12,10832066,5383201,70908,69501,99066,119225,0,0,0,0
12,10828578,5381663,70910,69441,98906,116218,0,0,0,0
12,3758298,1867957,67018,68869,98075,117160,0,0,0,0
