threads,ops,throughput,get_avg,get_p50,get_p99,get_p999,put_avg,put_p50,put_p99,put_p999
12,1864751,932325,187867,187395,221835,239518,0,0,0,0
12,4080345,2038117,188120,187530,222937,236993,0,0,0,0
12,4084264,2037771,188035,187481,223177,237023,0,0,0,0
12,4082801,2037140,188163,187691,222987,237464,0,0,0,0
12,4084661,2038078,188069,187591,222166,236762,0,0,0,0
12,4081472,2036568,188346,187971,222857,236432,0,0,0,0
12,4082266,2036905,187962,187511,222246,235591,0,0,0,0
12,4081863,2036682,188190,187651,222296,235730,0,0,0,0
12,4083134,2037238,188079,187671,222326,234890,0,0,0,0
12,4081125,2036320,188241,187801,223368,237524,0,0,0,0
12,4082648,2037062,188152,187531,221895,235300,0,0,0,0
12,4082050,2036724,188101,187631,222726,236031,0,0,0,0
12,4083236,2037358,188045,187545,222205,235801,0,0,0,0
12,4081356,2036416,188318,187671,222676,238405,0,0,0,0
12,4083681,2037555,188124,187661,221865,235881,0,0,0,0
12,4081284,2036384,188139,187711,222907,235461,0,0,0,0
12,4080790,2036183,188261,187711,222557,237514,0,0,0,0
12,4081348,2036418,188100,187641,222856,236593,0,0,0,0
12,4082708,2037167,188004,187650,222055,236963,0,0,0,0
12,4081723,2036661,188179,187851,222746,235069,0,0,0,0
12,4083158,2037320,188115,187521,222787,237434,0,0,0,0
12,4081638,2036621,188002,187591,222666,236963,0,0,0,0
12,4081227,2036441,188066,187701,222737,236583,0,0,0,0
12,4080924,2036234,188314,187861,222737,237264,0,0,0,0
12,4085622,2038567,188015,187570,222286,237484,0,0,0,0
12,4080724,2036079,188412,187701,222907,237855,0,0,0,0
12,4083510,2037498,187992,187600,221995,235841,0,0,0,0
12,4083391,2037556,188208,187676,222356,236061,0,0,0,0
12,4084118,2037882,188006,187511,223127,237755,0,0,0,0
12,4081456,2036476,188154,187670,223017,238145,0,0,0,0
12,2793602,1393950,185860,186098,220943,236593,0,0,0,0
