threads,ops,throughput,get_avg,get_p50,get_p99,get_p999,put_avg,put_p50,put_p99,put_p999
12,4095465,2047649,175773,175451,205858,219674,0,0,0,0
12,4367701,2178393,175771,175530,205166,217198,0,0,0,0
12,4370097,2179176,175828,175701,205738,217810,0,0,0,0
12,4368118,2178231,175945,175791,205698,219192,0,0,0,0
12,4368655,2178484,175868,175691,205296,217860,0,0,0,0
12,4364900,2176613,175965,175800,205868,218531,0,0,0,0
12,4365656,2176939,176026,175770,205576,216638,0,0,0,0
12,4366066,2177206,176105,175711,205296,218220,0,0,0,0
12,4366321,2177339,176061,175771,205206,216948,0,0,0,0
12,4367356,2177838,175806,175610,205457,217770,0,0,0,0
12,4366665,2177413,176093,175851,204966,218020,0,0,0,0
12,4365349,2176671,176339,175801,205657,219303,0,0,0,0
12,4367705,2178031,176013,175780,205256,217960,0,0,0,0
12,4366847,2177554,175945,175661,205327,218211,0,0,0,0
12,4366037,2177205,176083,175661,205216,218090,0,0,0,0
12,4365798,2176959,176022,175800,205867,217850,0,0,0,0
12,4366391,2177367,175931,175711,205227,217579,0,0,0,0
12,4366295,2177176,176046,175651,205677,216968,0,0,0,0
12,4366405,2177359,175974,175671,205566,217659,0,0,0,0
12,4364116,2176159,176099,175791,205697,217910,0,0,0,0
12,4366358,2177318,175870,175610,205397,218711,0,0,0,0
12,4364765,2176433,176341,175700,205346,218291,0,0,0,0
12,4365050,2176703,175912,175651,205367,219302,0,0,0,0
12,4366053,2177101,175859,175681,205176,216127,0,0,0,0
12,4366794,2177495,175805,175490,205306,217700,0,0,0,0
12,4365613,2176771,176283,175771,205637,218731,0,0,0,0
12,4363494,2175822,176357,175731,205576,218741,0,0,0,0
12,4363464,2175867,176010,175711,206068,217399,0,0,0,0
12,4363698,2175927,176147,175981,205597,218080,0,0,0,0
12,4359391,2173708,175939,175891,205096,218601,0,0,0,0
10,474204,236462,153281,166262,198464,213762,0,0,0,0
