threads,ops,throughput,get_avg,get_p50,get_p99,get_p999,put_avg,put_p50,put_p99,put_p999
12,923598,453962,1072345,14587,10339516,25162592,1179306,263475,20833873,40635599
12,1025494,512437,389690,9428,14624784,28853484,1105264,100849,25915095,43987844
12,1027331,513370,402886,9643,13866069,25144979,933064,99717,25290121,37589168
12,1040319,519893,421818,9648,17115120,25306713,1031284,103815,27483721,42056577
12,1034049,516726,469917,9568,18246384,29566191,1038700,97292,25656149,55782142
12,1031849,515628,480903,9548,17369728,29605987,1042929,99296,26245786,44412481
12,1028895,514165,393758,9257,14227557,28612771,988245,95409,25546894,37375476
12,999150,499295,444436,9684,17700880,28449394,1051798,94037,26902409,46685619
12,1018115,508787,376182,9377,14049764,27855049,993242,96982,27238099,43212007
12,1050104,524800,452272,9558,17642831,32448043,1146997,106304,25570849,52157355
12,1038202,518798,454451,9768,17555797,25185205,1089966,105443,26349581,41847344
12,1046244,522824,448632,9558,16818453,30334284,1018021,99622,26332048,42662665
12,1042786,521105,439436,9488,15953529,26287164,995866,103830,24693050,43032099
12,1028474,513939,473752,9718,18966186,30141452,1015846,104556,27564553,41909841
12,1035398,517404,388720,9708,13847934,24797777,1180802,107512,27180492,54494845
12,1044876,522154,353852,10104,12059466,30227714,1112454,118352,26573852,45887892
12,1044117,521759,461804,10069,17708575,29811292,1055040,113773,25302394,41509730
12,1061428,530391,384165,9557,13444036,28439586,1037283,109756,23846681,40514201
12,1044891,522157,310132,9919,12325806,25360574,971564,114725,23296718,37818989
12,1044430,521917,475899,9548,17026974,24782067,1083318,108464,29481593,56271440
12,1033610,516493,468131,9508,17663720,27539776,1098032,115828,28488588,46924017
12,1052676,526053,475146,9948,18897527,30227534,968353,111129,24952037,40314275
12,1044587,521994,450374,9658,18201460,28714463,1042106,113708,26607867,51335181
12,1047929,523650,437633,9948,17183478,26324575,1104563,110658,28134203,43484849
12,1036452,517945,391658,10440,15905098,31926013,982346,115822,23337345,44168783
12,1068250,533820,414860,10129,14409869,26764260,1039794,122269,24592902,42501893
12,1049107,524234,446226,9819,16788166,29856167,1045836,107652,28194055,44071631
12,1049931,524676,441197,9658,16652752,29064129,974094,113994,26173741,38845106
12,1057370,528380,395038,9938,13885535,27537622,1028861,113483,22783575,45607896
12,1059610,529483,280857,10199,11073464,23579229,695174,112035,15882014,34169256
12,242088,120977,53306,7694,471275,8399052,448318,66495,11785070,41389544
