threads,ops,throughput,get_avg,get_p50,get_p99,get_p999,put_avg,put_p50,put_p99,put_p999
12,2845495,1422510,112994,22682,2352385,6465864,320126,71875,3898095,8157137
12,4431651,2212026,91653,21421,2876919,6669906,245779,64210,5601081,10230879
12,4466142,2226913,107615,21550,3361738,7073844,231825,63870,5478200,9814167
12,4492351,2240181,99370,21891,3259517,6653686,235118,64405,5561547,10065419
12,4470384,2229549,102360,21800,3172974,6880372,254208,64215,6201657,9903314
12,4454249,2221363,103875,21791,3349275,6846508,249918,64021,6458299,10363538
12,4465166,2226659,103260,21761,3218590,6907803,248579,63930,6073347,10198888
12,4486118,2237431,107100,21551,3356368,7014463,238480,63584,5442062,10225559
12,4492673,2240544,106320,21861,3408356,7118959,245994,64481,6229841,10357236
12,4477885,2232926,103521,21630,3272371,7208978,237733,63940,5502917,9720971
12,4471921,2230317,101280,21691,3228047,7079055,245696,63604,5926561,10215981
12,4471506,2229949,99287,21701,3118602,6917411,238563,64391,5664480,9921217
12,4459005,2223452,95744,22051,2911083,6643607,252470,65247,5609787,10274310
12,4472651,2230683,102034,21650,3232245,7025714,237263,63359,5825081,10165406
12,4469320,2228853,103116,21831,3361097,6801443,242194,64836,6199343,10659353
12,4479660,2233822,101053,21601,3201007,6863209,243309,63719,5424540,10095995
12,4474784,2231758,98422,21541,3149550,7123688,235479,63358,5636737,10264692
12,4471024,2229734,99261,21720,3236022,6565711,247985,63920,6091872,9764593
12,4502052,2245009,97859,21751,3224160,6678913,235845,64060,5760550,10449138
12,4488845,2238751,100853,21931,3312216,6786385,249214,64020,6369723,10146971
12,4473609,2230993,98866,21801,3186850,6660809,254923,64411,6224040,10481309
12,4481013,2234514,103154,21821,3307537,6737092,235347,64231,5881807,10325145
12,4485612,2237122,96235,21901,3080401,6613140,245655,64541,5864365,10228344
12,4449612,2219000,101030,21640,3292098,6466986,232265,64161,5253919,9634499
12,4482081,2235045,106615,21745,3406061,6948299,237129,64241,5870627,10424642
12,4480080,2234386,102828,21711,3310783,7074355,243494,63083,6058529,9996619
12,4480352,2234311,106798,21831,3347041,6810580,240496,64586,5683195,10294668
12,4490189,2239063,105097,21701,3370625,6931377,238269,64140,5766812,9885110
12,4437703,2213254,101763,21610,3355227,6938180,253922,64641,6377788,10163622
12,4478188,2233293,101858,22051,3234649,6682951,226847,64752,4333442,9281297
12,1430583,713363,46091,20037,228950,4080627,152427,60343,3031509,8567417
