threads,ops,throughput,get_avg,get_p50,get_p99,get_p999,put_avg,put_p50,put_p99,put_p999
12,3773766,1886396,130108,22913,2536998,4615715,233410,57668,4179658,6415431
12,5058989,2524141,128851,21685,2740018,4689564,168515,56526,4203091,6374293
12,5052098,2518493,130856,21550,2671680,4624091,176625,57803,4210174,6411363
12,5035287,2510583,128383,21590,2637596,4639290,174328,57072,4264828,6451588
12,5052585,2519337,130321,21601,2606908,4704662,173083,57268,4161684,6482186
12,5080963,2533183,131604,21790,2918733,5187297,173966,57247,4184367,6417524
12,5072179,2528661,122112,21701,2473819,4546065,175175,57177,4194766,6499438
12,5073011,2529430,129369,21820,2797516,4728537,173349,57507,4172124,6436540
12,5067637,2527053,124526,21801,2490179,4558078,174852,57428,4213642,6419368
12,5043906,2514882,134075,21881,2659818,4674716,179025,57768,4249729,6474371
12,5063498,2524810,128011,21771,2748655,4725662,175838,57468,4233409,6378942
12,5057105,2521342,129390,21821,2633408,4607200,182263,57683,4283513,6560753
12,5048374,2516925,131241,21871,2531958,4730571,171200,57403,4161634,6557216
12,5048107,2517565,130807,21952,2874932,4606519,171843,57603,4204764,6449714
12,5046635,2516342,129994,21851,2599836,4649739,174132,58039,4169820,6433595
12,5035586,2510527,128010,21801,2622357,4608973,170757,57523,4188525,6422995
12,5048450,2517127,127201,21750,2675287,4609764,177174,57578,4218381,6427673
12,5066143,2526344,126507,21750,2573827,4575249,175679,57468,4219502,6383009
12,5057587,2521698,133879,21700,2774843,4718328,176281,57387,4211227,6493768
12,5043790,2514984,129351,21731,2637095,4669777,170124,57267,4223400,6388730
12,5047629,2516573,127866,21671,2620194,4692710,173037,57348,4169699,6519045
12,5081795,2533530,127428,21615,2593664,4526949,170872,57759,4194907,6421421
12,5066953,2526352,127464,21992,2577013,4710113,179115,57638,4222608,6602822
12,5045917,2516294,128380,21761,2521959,4855736,179920,57488,4231014,6581242
12,5061114,2523475,124755,21815,2627006,4636083,176544,57643,4251092,6702308
12,5039820,2512979,136037,21691,3308594,4684555,175764,57398,4211999,6455636
12,5054160,2519816,127086,21881,2524995,4580369,170717,57879,4163648,6355498
12,5059584,2522432,125866,21660,2502423,4638939,175228,57453,4235503,6514666
12,5057205,2521509,125464,21701,2542388,4559390,173307,57448,4243177,6511100
12,5059159,2522824,130463,21781,2603321,4676840,169125,57588,4182113,6452730
12,878472,437998,57558,18845,1309736,5656658,141436,54031,3653551,6265038
