threads,ops,throughput,get_avg,get_p50,get_p99,get_p999,put_avg,put_p50,put_p99,put_p999
12,980449,490121,931437,46637,10403002,11429891,433649,53866,9739977,10855462
12,1489299,744159,685108,48671,9963507,11020412,355923,56637,9420597,10261166
12,1428401,713537,711124,46077,10465610,11001787,326303,53410,9585607,10920915
12,1479950,739389,737017,49162,10024141,10795270,355378,57197,9405268,10573703
12,1494385,746636,698160,49132,9723666,10955711,329436,57362,9162603,10152001
12,1498405,748608,653880,49313,9670927,10900347,328067,57343,9107359,10315739
12,1495296,747034,666998,49412,9789610,10856985,316325,56932,9090898,10538568
12,1517491,758155,682108,50645,9617597,10729686,308418,58299,8885111,9842599
12,1499232,749013,717340,49743,9579976,10691194,320457,58129,9097580,10428520
12,1499797,749281,648534,50355,9561321,10507268,338754,57829,9235790,10125301
12,1503918,751393,677732,49888,9672701,10792154,366396,58059,9275614,10389677
12,1496048,747425,715239,50034,9710722,10607166,348738,58300,9154777,10269422
12,1517977,758356,677088,49863,9592510,10311861,359868,59051,9257070,10193498
12,1505797,752329,643907,49493,9674705,10640979,350228,57989,9250036,10362767
12,1501025,749916,666308,48902,9767619,10722763,341033,57999,9345666,10121353
12,1502938,750851,685554,50094,9697327,10643785,321791,57969,9253503,10485257
12,1457115,728014,695790,48130,9976802,11019561,341939,56386,9525083,10896780
12,1469770,734319,678159,48852,9796734,10908893,350473,57623,9388526,10983724
12,1485416,742108,748680,49783,9900429,11077860,326654,57182,9144769,10584423
12,1484237,741562,673920,49713,9699511,10700852,356835,58034,9319437,10515994
12,1475599,737221,724548,49042,9928942,11001036,330660,56536,9233686,10305830
12,1491451,745120,712178,50359,9740678,10977722,356639,57658,9234217,10630760
12,1471444,735170,702312,48862,9847560,10891129,355752,56396,9429955,10616023
12,1482874,740863,689188,49143,9849492,10914383,292516,56826,9047998,10346106
12,1497912,748343,705864,50194,9730530,11010593,344527,58445,9122246,10499443
12,1509008,753939,693223,51001,9658915,10854190,310282,58720,9059108,10138506
12,1489964,744377,692788,49913,9728645,10844492,313385,57373,9047786,10505515
12,1475476,737130,677610,48691,9935304,10887253,351397,56220,9332231,10787655
12,1485186,742042,667933,48692,9829796,10722542,350761,57788,9493374,10613337
12,1504548,751683,710349,50024,9663203,10330015,350156,57618,9226362,10159315
12,551352,275432,320197,48877,8332754,10794157,186600,55414,6343015,9952276
