threads,ops,throughput,get_avg,get_p50,get_p99,get_p999,put_avg,put_p50,put_p99,put_p999
10,1418298,2836123,329383,40406,182443,6651659,546166,113213,1293222,275877156
12,2299298,4497644,63171,37380,237066,2223361,806685,146590,810324,281764117
12,2526810,5037267,73956,39399,291518,5313843,205322,158398,631417,5680683
12,2389545,4764053,69118,37571,323979,4048683,209965,156274,776400,4088839
12,2493520,4971964,69519,38742,289364,4169120,209416,157161,730244,7181645
12,2453555,4889817,68428,38783,294985,4081396,283052,163472,907417,28886542
12,2478641,4942827,68374,39324,292330,4133884,246241,167695,754278,8183349
12,2470601,4925580,67403,39058,292220,3916565,240552,157736,826304,10507630
12,2404838,4792942,72537,37921,312858,4891288,233783,155673,1226988,8306080
12,2481894,4949622,71760,38533,290185,4690911,281772,162846,882390,32101999
12,2438549,4861500,72411,38212,320132,4580403,226239,153489,716999,4616512
12,2520464,5023439,66241,38808,301386,4024188,211824,165251,678957,3929800
12,2419410,4824177,72036,37902,312838,4253589,212966,153659,946370,5115320
12,2481461,4947555,71003,38904,296648,5169331,238457,161914,801387,8562572
12,2501757,4985787,69677,39253,284826,4289577,200135,160136,643420,3666966
12,2390327,4766144,69944,37821,306526,4197624,246150,154074,773304,21131569
12,2505063,4994734,69292,38984,287190,4390466,242884,161113,708101,25051851
12,2448657,4879707,73689,38442,302238,5915775,228147,164830,1877641,4752969
12,2155257,4297981,83454,37451,292951,4685000,197856,148099,719192,4572449
12,686873,1369590,261986,31580,561827,65473996,818516,141361,9612206,71927462
12,216658,432816,648540,21670,7242980,76160863,3968769,112226,77351392,80244853
12,119189,238285,977315,15048,63063143,71591310,7671511,59051,81531213,81531213
12,118543,236984,2156220,15149,70672993,79162308,4495274,72161,77742348,77742348
12,93488,186892,2253751,13045,77312770,79861703,13423340,46548,157510775,157510775
12,84931,169814,2277667,15219,72806034,127994087,8352186,61325,141326550,141326550
12,56238,112447,3029400,11066,76903430,130532822,13229727,498853,85852679,85852679
12,68719,137406,2963844,11847,65905327,78064673,8840248,40476,81034358,81034358
12,61074,122119,2070180,13485,76006372,91829428,5766071,47289,77218492,77218492
12,64261,128492,3660224,11276,80468334,153617704,10208729,44454,67750277,67750277
12,56480,112933,2315521,11577,77267695,93578738,9043612,48922,81315136,81315136
12,49663,99303,4228855,11341,78212261,79439949,10850504,37295,79493229,79493229
12,51077,102132,3176155,10751,76822668,80436304,15336433,38593,110313218,110313218
12,40940,81861,4080265,11412,80843098,128817456,8710681,52128,128675989,128675989
12,40113,80210,4463235,10941,105735159,167775948,11500980,925200,79434700,79434700
12,48247,96474,3486478,10970,78568661,136619698,10210167,35727,146562716,146562716
12,45827,91635,3231941,11056,80834472,81809435,8237810,47854,78080203,78080203
12,46813,93606,3162307,11106,73623552,149276300,14282200,39048,85807865,85807865
12,33983,67952,5538256,10314,136802512,147867901,11645670,45886,150276340,150276340
12,41264,82512,3108360,11161,78423828,122174694,9899737,43681,78591163,78591163
