threads,ops,throughput,get_avg,get_p50,get_p99,get_p999,put_avg,put_p50,put_p99,put_p999
10,1412466,2585099,672978,41186,162853,5475471,142236,93519,420011,6503111
12,2759211,5296835,137155,40615,207246,3219597,195419,127266,569198,6583630
12,2535319,5048855,67263,39183,274460,3966655,207184,160428,702396,4071370
12,2535468,5050539,66844,39894,280131,4061772,211458,157663,824814,4601997
12,2409589,4799849,67049,38222,308103,4080096,214040,163344,743492,4919616
12,2458897,4898939,71902,37860,333730,4288072,223916,158830,685004,4425088
12,2344116,4669900,76056,36448,355721,4621963,248628,148887,1968490,11514779
12,2404763,4791278,66283,37931,307682,4036004,238823,155699,720329,5334639
12,2484027,4949040,69098,38732,298575,4080657,213076,159311,785410,7635988
12,2428331,4837237,72124,38336,321859,4186915,241029,158504,1020568,7515964
12,2417708,4816557,75660,37861,310307,4285227,223484,156501,1734956,4365146
12,2373489,4728612,73057,38011,328521,4554398,220607,150139,807301,6556591
12,2484752,4950660,73098,37965,314304,4681133,207158,150014,852335,4736546
12,2482553,4947641,68056,38011,300358,4012450,249676,155108,1296641,7012709
12,2389034,4763971,74116,37039,322721,6431838,204849,150515,954785,4746975
12,2549974,5085628,67721,40034,265954,3585326,207716,163624,684452,3252327
12,2564997,5114494,63475,39583,262417,3467948,203584,164075,632676,4296709
12,2257194,4500609,75396,36077,443955,4971844,259301,146898,2679482,15197947
12,2127997,4244428,79546,38943,280402,5930095,246217,157663,751097,9176692
12,970167,1935477,174356,38001,293836,70108800,220239,153846,790400,10859691
12,264111,527584,699063,24846,7368910,74481981,1317470,99675,67710330,68818030
12,198704,397234,823262,18775,63528585,76221355,2215007,113912,80242882,80242882
12,126975,253858,966043,19436,66488408,82007493,7095742,96344,90286856,90286856
12,98634,197209,1862316,13505,74264166,80541817,2143557,60933,76832691,76832691
12,87553,175060,2101392,12844,75532253,79809205,8367002,72525,79483019,79483019
12,67717,135399,2391300,11646,77362256,80889995,6691978,108171,79961259,79961259
