threads,ops,throughput,get_avg,get_p50,get_p99,get_p999,put_avg,put_p50,put_p99,put_p999
10,705514,1247298,1016778,41298,130117,9274304,185448,76976,3188248,15818457
12,3101500,5361644,66021,37942,183958,1925657,162609,130978,457897,3989075
12,2717674,5405211,62553,41148,229334,1673509,224777,167872,587513,3916307
12,2577830,5130444,66705,41178,248380,4150601,234356,182816,702020,8084461
12,2595442,5166856,66013,40627,254672,3597092,216429,177646,641455,5444411
12,2623395,5222271,64018,40878,253991,1497456,235954,174631,571672,1808956
12,2574004,5123773,68645,40817,252949,6093130,267985,172437,592462,23429441
12,2637205,5250120,67416,41378,239073,2564747,268358,176735,611598,13678845
12,2685178,5344903,64168,41249,232019,746323,214408,183467,573676,3133645
12,2604689,5184498,67704,40882,249402,3822639,216332,174240,612931,5228712
12,2658706,5292532,65210,41529,241667,1028949,215710,178929,591881,5459229
12,2583468,5142268,69612,41238,246317,4519209,217888,180557,602461,7737423
12,2653523,5282470,60476,40427,241828,656373,219564,178338,617079,6592214
12,2624377,5227110,63804,40652,246778,1550246,219246,172146,612760,5692912
12,2531501,5047433,63117,40532,255584,1538313,251186,169831,1222806,5801186
12,2563697,5112129,63786,39354,234084,1620670,306222,187034,1280976,2613058
12,2549895,5084406,62195,39229,240796,1429848,299162,184770,1296235,17499381
12,2605527,5195528,62891,39966,231288,793012,311843,176515,1293840,4585985
12,2546771,5078130,61744,39675,235506,1791473,320907,181233,1308188,38917633
12,2497934,4981099,66674,39154,243000,3814454,295069,187315,1433635,9575955
12,2607698,5200231,61352,39344,245425,1191667,268610,185136,1273372,3868216
12,2587916,5160236,63161,39945,242158,1818685,282870,182646,1261178,1484230
12,2571683,5127924,66979,38733,255113,4241432,281361,181022,1309901,3240627
12,2575728,5136138,61747,39474,234905,1314439,269951,180155,1301145,2278184
12,2565747,5116095,66819,38834,235255,4062573,273007,178498,1274864,4295244
12,2532596,5050151,64101,38533,240546,3016313,326649,179150,1313678,19716660
12,2570939,5126600,62066,39324,232500,2744317,286491,175933,1277360,14217706
12,2591766,5168201,62635,39114,230226,1481276,300859,184549,1285434,6020622
12,2580193,5144901,65058,38728,235867,3407453,264263,180262,1246932,1852318
12,2610314,5202502,58868,38688,233533,1341550,337536,187054,1277549,19214609
12,2612824,5204401,62421,39865,237400,1018569,272506,184419,1283271,1431230
12,2603542,5191059,64324,39294,224865,2228891,297466,181699,1330170,3594558
12,2575610,5136960,70807,39465,242038,5903260,263261,180502,1299381,3526940
12,2560089,5108899,65047,38082,245665,5467865,319470,182927,1297588,7439519
12,2529245,5047678,63106,38438,223423,2934879,270597,183227,1248084,6268141
12,2645527,5279212,65683,39635,235756,1913964,252282,177115,1221924,1526641
12,2610587,5209363,61914,38423,241016,3326921,260224,178187,1273061,5331206
12,2556718,5102123,59475,38743,232800,864537,273901,181884,1268683,8050236
12,2612540,5213801,61488,38884,227551,676651,256984,181273,1282939,1690702
