threads,ops,throughput,get_avg,get_p50,get_p99,get_p999,put_avg,put_p50,put_p99,put_p999
12,1472776,2933974,118036,53110,154501,818038,131339,120306,329770,3174866
12,832217,1659958,255280,54392,395282,70346706,455535,145147,4013672,70788115
12,1246632,2489804,142790,61861,212450,21777785,576682,152466,19609660,37406014
12,2190999,4374405,82921,64000,153177,1703851,186560,148764,330772,2853382
12,2379158,4742205,77320,59892,148970,1146133,151361,138941,380706,3083134
12,1944573,3875958,80468,56125,169949,7725588,207308,131462,448072,20324745
12,1625126,3242369,117174,84699,181300,9972491,311001,200702,350488,34321066
12,1047649,2090585,142140,70652,176171,28932610,742634,174207,32703016,68970079
12,2099781,4192582,83569,79359,171702,206167,184639,184606,301166,336903
12,2352447,4691716,74550,63750,149852,265229,148958,144942,313078,461798
12,2371206,4727568,79889,60623,154831,330010,164930,142298,363153,1502103
12,2396941,4777115,76092,57959,148570,333577,195645,137578,354787,19780361
12,2375836,4738163,72082,57568,159059,303711,172039,134573,296467,19914012
12,2388597,4762623,75264,58090,153478,305253,176601,136466,349707,20218274
12,2399331,4782427,71512,57698,145503,286218,208329,134923,364064,19858078
12,2393074,4772570,73107,57438,148729,319330,189694,136527,327706,19433240
12,2401353,4787890,75269,55785,153739,280548,140148,133792,329489,490241
12,2403393,4790373,69937,57438,155221,294433,141400,135425,369535,504338
12,2379321,4745062,73835,58079,150694,293762,177511,136907,327235,19465370
12,2385288,4756133,75242,58520,148008,290847,227003,135990,409880,19980217
12,2369727,4723305,71801,61305,146546,277521,200347,140925,350850,20955930
12,2380302,4747474,71151,58941,142708,274476,179158,138190,295395,19617665
12,2390716,4766701,67125,57313,146886,276640,246040,138300,360518,20520382
12,2395818,4775336,72083,57789,153167,284806,171075,134293,332434,19669423
12,2382677,4751911,67858,59216,147808,276350,163443,136045,327225,3952467
12,2379105,4743693,73123,59763,157546,298962,195885,140554,337865,19806180
12,2385421,4754632,75725,60174,152517,304863,209077,141255,371479,19815387
12,2397201,4780812,77760,58139,148469,354787,174557,136376,313179,19176066
12,2388080,4761377,75744,57447,162285,3257772,216653,136606,417424,20050208
12,2435477,4854326,64075,48791,145273,276249,411856,130185,2133099,20150907
12,2404473,4795220,63053,50389,143810,289604,342640,134543,2113161,2174126
12,2394138,4773452,64730,54302,140735,250751,295301,136436,1739900,19768058
12,2396390,4776279,69822,55134,140294,280357,327658,138270,1207319,20439900
12,2391340,4769156,69825,56005,147858,293451,258500,131812,1209422,19431015
12,2404281,4793721,70750,53821,145794,289093,217623,131467,1192581,1585148
12,2410532,4804604,73518,53771,140754,1129101,286284,133832,1196578,20176556
12,2386700,4759820,79419,56406,141997,17614631,253889,137368,1212849,20274159
12,2396120,4777738,69123,55875,146285,273284,249287,137829,1196218,19616033
12,2412680,4808883,63081,53040,144652,269206,218873,133610,1197881,1322065
12,2398819,4784046,75059,55013,151976,385034,236354,131667,1185858,19636882
12,2407913,4801057,70367,53841,148940,293923,261083,132153,1192621,19858108
12,2398216,4780011,73009,56356,145934,283753,265271,136501,1198802,20835484
12,2383736,4754014,72032,56496,147226,296337,217703,137458,1190547,2738005
12,2418882,4822872,66341,54081,143750,278884,283242,131948,1198222,19970258
12,2402968,4789420,72042,54152,140995,296538,233451,133345,1195006,19386471
12,2365205,4717018,71012,55324,146416,325121,274822,133651,1185188,20024450
12,2400567,4786356,77633,55534,139562,343937,204120,136497,1188604,1259477
12,2417566,4818606,68554,54582,141385,280768,198135,134753,1193492,1261069
12,2403405,4793039,73142,54613,146505,325762,273341,133491,1233277,20037124
12,2410301,4805873,66991,53651,140584,273464,287731,128711,1228559,20434621
12,2396904,4777435,74963,56416,144151,331554,244428,133862,1190467,19267017
12,2435117,4856571,72495,52804,144532,310063,226799,127930,1177854,19627454
12,2417555,4819871,68957,53280,147117,277852,220344,131317,1201608,1339868
12,2412431,4808395,76482,53391,144592,1152466,285517,128577,1195848,22860559
12,2418226,4822695,77014,53551,142218,345890,278850,128612,1211477,21007318
12,2400415,4785964,76377,55108,149892,428395,279340,136236,1206958,19601585
12,2410911,4805297,69999,53180,147056,301908,263499,131913,1189616,21614829
12,2408538,4803295,74274,53641,147266,372881,190008,128181,1178755,1342943
12,2408076,4801240,70060,53881,145343,287079,262545,133220,1187522,20630900
12,2392140,4767896,67317,55084,147247,279395,241584,133311,1183504,19145188
12,2407092,4800663,78774,52709,147006,16812303,251434,129634,1197320,20627854
12,2383450,4752304,72886,55704,147126,302478,258176,134914,1185177,19715319
12,2409058,4801770,73234,52398,138510,299814,211314,130476,1172684,2182531
12,2432827,4851715,66174,52439,139322,268986,267220,129012,1191740,23475134
12,2403460,4791889,66800,54002,145033,282892,255690,131066,1196208,19914463
12,2391380,4766419,69914,54833,160001,311936,222667,134918,1185738,4141392
12,2390818,4765559,72336,55259,148169,289644,234143,134107,1191519,19483543
12,2411274,4806450,72570,54106,144021,309392,265480,137148,1192481,20002338
12,2401545,4785711,75057,54352,145022,308430,278471,133390,1198833,20166657
12,2419069,4822055,68497,53410,145894,282641,240018,131117,1181460,19488734
12,2410085,4806413,68005,54838,144802,268124,243191,134663,1201688,18127515
12,2407495,4801471,69820,56596,139842,258646,217918,138971,1208050,1254317
12,2411524,4809623,66324,53596,139442,277391,272914,134383,1218490,19879237
12,2409497,4805297,68999,54292,146565,273514,241578,131297,1210204,19196956
12,2411784,4809931,66715,52970,140624,258997,193595,131016,1188784,1321273
12,2406377,4799355,71082,54502,137188,272432,231744,132724,1191389,19710561
12,2387168,4760961,73789,56065,145894,295666,194044,133931,1184025,1307367
12,2383320,4753375,69027,55945,145343,267523,240122,133301,1202099,19022346
12,2400879,4788472,74828,54241,145313,324250,202127,129894,1196058,1337815
12,2412577,4811638,72494,56035,138149,296688,241860,132619,1205486,20441924
12,2381669,4750017,68002,56647,139452,254738,268644,135670,1213951,19970458
12,2398381,4783346,68274,55835,144852,288192,299295,134643,1217518,23311828
12,2377984,4742595,71585,57478,146115,272572,218569,139021,1193824,1473840
