threads,ops,throughput,get_avg,get_p50,get_p99,get_p999,put_avg,put_p50,put_p99,put_p999
12,1932316,3848111,126839,60163,144751,19143132,130192,124884,284433,430266
12,2438472,4861012,78339,61805,144841,289202,132406,128110,272510,342512
12,2444233,4871733,75609,61736,148208,278121,134406,127018,305733,561903
12,2423977,4834106,74091,62277,150803,277500,151278,129908,276608,553978
12,2451430,4887483,75178,61115,143539,272240,147321,124253,264906,521256
12,2439931,4863271,72963,62397,146454,265137,195535,127373,345808,20069087
12,2447556,4881105,73373,59572,138870,258485,162597,124668,301375,19331375
12,2428629,4841982,76311,63178,144360,270948,134402,130404,277841,329458
12,2438464,4860269,79072,60133,141355,289873,147798,126361,325329,508343
12,2414230,4814446,76188,63840,147236,274123,169301,130895,309500,19381399
12,2441467,4867696,70798,62728,142146,262442,168808,131796,323857,19872349
12,2414811,4813054,76518,63529,143860,264646,170177,132077,305373,19807086
12,2420177,4826597,76554,62472,143749,281518,167574,129357,300073,19531479
12,2443204,4871385,76447,61335,145222,272180,146541,126527,263794,537748
12,2425616,4834530,75108,61886,147466,267140,183417,128936,290464,19781127
12,2418753,4823806,82898,61886,146174,325340,165014,127685,300664,19522633
12,2424232,4833436,77926,61075,143339,293840,137686,127950,313758,1563620
12,2426278,4836039,71035,61345,142838,261911,145933,125175,288891,517409
12,2429012,4844294,72183,60253,144661,268934,196610,125856,291747,20344714
12,2431750,4848267,71362,63318,144671,257292,169039,131737,261640,19885694
12,2429624,4842634,75806,59692,144180,292929,205803,130545,1165704,1231888
12,2450474,4886925,71736,57708,144351,295063,230291,126352,1169752,19174290
12,2461022,4906423,70990,57778,138219,262071,196544,126497,1169321,1251024
12,2441651,4865203,72792,59141,138099,271198,210175,129157,1156076,1874703
12,2427779,4841408,74714,59561,143399,284343,204483,131106,1163500,1264760
12,2435252,4855385,72381,59852,144100,263164,244353,127549,1179090,20118760
12,2433156,4849496,75014,59903,144891,287909,228239,131016,1179911,19384985
12,2442079,4870299,69279,58444,142988,271779,191961,125791,1152399,1227671
12,2426583,4837905,73658,59426,142798,259646,208240,127945,1151087,1460516
12,2428846,4840928,70241,61049,146365,275747,254804,131436,1180152,19754498
12,2431966,4849986,72702,59843,141806,266630,233667,131006,1167197,19519607
12,2432111,4849105,77677,59211,142758,314269,213190,127809,1159282,1292812
12,2434332,4851895,72832,59421,146425,264205,230776,129662,1166887,19863892
12,2436911,4860006,71435,59572,144481,276769,252046,126296,1203365,20185806
12,2450336,4884255,79283,59120,152135,314510,214532,129502,1173629,1328109
12,2436125,4855419,76407,59972,146885,287369,260875,130675,1167248,20223526
12,2438603,4863085,77142,58750,143229,276959,178614,128801,1161246,1228242
12,2447219,4879006,69534,58610,145222,280947,239486,129342,1168410,20131454
12,2419100,4821409,73954,59812,152496,414467,208232,130760,1181444,3028915
12,2435275,4856466,71882,59391,142637,270627,232545,127228,1186383,19660872
12,2424794,4834464,73817,59101,147176,306454,211988,128751,1162729,1243060
12,2436367,4856052,71147,59672,142758,277129,213832,129412,1165765,1221339
12,2455091,4896035,71582,56917,137978,284633,196715,127849,1150386,1224004
12,2432951,4850450,69842,58890,144822,290324,210750,127820,1165754,1223602
12,2446067,4875278,70828,57407,137728,309560,184276,126262,1161387,1366421
12,2431857,4849742,76136,59903,139802,277490,217798,126066,1191703,1249181
12,2409437,4803576,69780,59752,137918,280155,225725,130344,1160474,19363084
12,2429093,4841684,72917,59281,140864,314469,228446,128320,1181945,19964532
12,2426551,4839368,70893,59622,141354,268713,257437,129994,1202904,19913606
12,2443033,4870598,71417,58550,137488,270697,184586,124073,1177927,1239363
12,2437798,4858736,70055,58570,138550,259977,247015,130304,1176164,19686881
12,2435487,4856920,70696,59582,144291,300583,201171,128596,1181675,1465556
12,2442496,4869652,69047,57879,146845,286667,206634,127253,1167317,1316427
12,2418930,4821025,71004,60413,141876,273803,229360,129257,1165083,19309995
12,2429342,4844643,70516,59572,149230,275206,211022,130114,1158090,1338208
12,2440640,4865992,75122,58340,145533,278883,252335,127274,1165624,19536008
12,2430654,4844442,70759,58911,146524,275446,230042,127980,1171334,19761852
12,2443600,4872019,71941,58740,139011,274354,211088,128030,1151568,1361842
12,2426595,4837861,72400,59040,139993,278622,219922,126667,1163780,1592134
12,2426117,4835561,74091,59501,145863,279554,230325,129313,1154103,19320324
12,2442242,4870506,69704,58841,143449,260818,235242,130975,1163750,19218112
12,2430896,4846552,76577,58940,140994,302346,208999,126316,1165864,1250043
12,2430284,4843845,66239,58540,141095,263784,210974,127564,1162769,1378724
12,2422145,4830397,72269,60673,142047,275847,229763,129552,1172697,19998785
12,2427754,4840273,70191,60223,143369,268584,247664,131707,1193106,19628171
12,2425818,4834981,69491,60393,147246,282529,214698,129492,1172307,1396807
12,2421193,4825999,67102,58760,144581,272040,198412,127935,1137962,1276382
12,2438711,4861069,69553,58529,141134,316082,196433,129773,1162087,1199478
12,2437382,4857328,68983,58189,138860,270266,180611,127564,1159864,1222120
12,2429551,4842825,68412,59396,138289,260549,196212,131596,1161897,1452642
12,2434819,4855702,73239,59041,146254,282469,205865,128481,1161497,1286190
12,2412701,4811823,74318,61024,145854,278191,209782,131496,1170393,1409181
12,2419364,4825121,72890,60524,138619,280035,201025,128040,1151157,1189269
12,2424486,4835318,73919,60504,147086,279644,206997,127724,1159342,1228041
12,2426301,4839003,73563,59421,141505,281778,244344,130154,1179660,19302991
12,2421137,4828608,73414,59181,146895,275286,246362,130644,1190902,19309203
12,2445225,4876676,70037,58490,137828,269796,209333,127128,1172287,1295578
12,2425431,4836912,70274,59631,142547,274906,218885,131456,1184189,1484722
12,2414806,4815942,70262,59291,141475,282480,190113,129142,1177617,1252718
12,2413377,4813160,73092,61505,143839,302106,200713,136807,1150346,1258097
12,2425232,4836882,75039,62146,141164,291897,209228,132519,1123195,19366731
12,2424580,4835610,72535,62196,141295,256651,198468,127078,308768,19971013
12,2414352,4815004,76228,63093,147517,273332,139270,132699,291116,440566
12,2413327,4812968,74450,64405,144220,279173,153647,132273,326371,640239
12,2417777,4821888,75616,63689,139762,272962,149207,131532,252834,341580
12,2408174,4802838,75390,63699,145813,272020,149685,130284,246782,417272
12,2399852,4786172,75856,63659,141816,279944,214194,128992,352130,19838054
12,2425607,4837714,72626,63208,139632,254727,214154,129753,271669,20044351
12,2413189,4811411,76000,64341,145082,287188,184536,129733,309119,20208158
12,2430680,4847745,81233,61315,147527,328436,146938,126547,275376,673482
