threads,ops,throughput,get_avg,get_p50,get_p99,get_p999,put_avg,put_p50,put_p99,put_p999
12,1503156,2991798,113539,63734,159339,234209,127301,124588,270027,296526
12,2019595,4026705,88604,85891,172313,200997,178676,178405,299632,368912
12,2023128,4030716,90632,86422,172835,193833,176669,177022,288973,337604
12,2024968,4034389,90298,86793,173466,201148,178066,179241,290796,321293
12,2204267,4391626,85142,78518,168827,199284,186033,165671,284114,328186
12,2025690,4034697,91261,86727,171351,197631,179668,178856,296626,346139
12,2027889,4040239,90395,87219,174477,197981,179640,179897,285436,320682
12,2023879,4032209,89180,86392,172133,199565,179390,179367,295655,331822
12,2028944,4042486,90394,87334,172974,197671,177616,176446,286598,330700
12,2023524,4031535,89984,87774,173115,200316,178692,179512,288471,368352
12,2027303,4039144,89446,87535,173956,196379,194418,175179,288250,348615
12,2027058,4038603,90846,86352,172133,196830,176076,174031,291748,317015
12,2027738,4039901,88983,86863,171201,195607,179167,179326,284454,310884
12,2022387,4029241,90522,85911,172233,201098,191402,170610,288401,342022
12,2024195,4032824,88242,85560,172233,201478,200668,182162,298851,341811
12,2025291,4034963,90615,86011,175059,205937,180114,176676,282901,1940492
12,2022287,4031465,90043,86693,172003,199103,196178,177974,281489,356890
12,2025877,4042279,92130,86562,175139,207359,179385,179557,286978,311174
12,1940228,3871276,86982,80676,170299,422472,239933,177112,1232062,4726129
12,2420335,4829555,68857,58781,158938,368221,218644,138419,1177560,2049256
12,2460084,4905247,66558,55158,151515,626185,194180,126147,1153504,1842047
12,2495234,4976070,68459,55905,148879,1133767,186395,128731,1170527,1768218
12,2469058,4923642,70247,56125,148359,1148565,199631,128070,1161499,1409324
12,2425135,4836478,67302,56015,145713,308378,234082,131712,1163023,19309776
12,2490188,4966456,69458,54853,148398,2053003,188834,126868,1159536,3070702
12,2520094,5025721,71495,53671,143449,1038619,230357,124824,1173512,19255293
12,2471203,4928155,67990,55354,145142,627097,235900,131081,1195073,19350933
12,2399255,4784718,71260,58320,155451,318418,203293,134372,1159656,1707193
12,2407187,4800887,67493,56917,146736,336582,237087,130134,1181237,8841472
12,2406134,4798859,77904,57162,153028,5222039,210586,127139,1162021,6666159
12,2446194,4878719,68693,56696,146315,305493,254555,129758,1182609,19675643
12,2167558,4322944,78479,63689,163988,951396,233916,143479,1186196,5772111
12,2319721,4625516,76582,61015,158458,1057905,201757,137012,1178802,1478214
12,2451644,4889434,74318,56636,152897,1234456,246157,131025,1170487,19407920
12,2505717,5000526,68584,56721,145313,273724,233208,130304,1166269,19449728
12,2507909,5004883,66114,55394,146174,258715,204453,126302,1152843,1293657
12,2430146,4849960,71783,56015,145593,280226,265221,130505,1168983,19307431
12,2324411,4639146,74514,57077,154019,884500,286735,128421,1175806,19845010
12,2012333,4016571,86697,75927,167765,530435,320191,163026,1244366,19573560
12,2357536,4706628,71467,55955,158778,1314937,203789,130099,1165718,2057932
12,2519038,5027729,68761,56105,141796,273583,216654,129954,1156821,19824341
12,2479853,4949000,70017,54592,146214,304872,216258,125616,1181508,19291812
12,2411040,4811840,67641,58901,150583,290936,226055,135645,1163173,2385858
12,2394990,4780157,72241,55835,150853,3511259,220358,128866,1169574,19099290
12,2486094,4961751,67879,56215,145093,300594,253857,129473,1173823,19496426
12,2510065,5009467,68793,56060,143840,347472,188521,127689,1159506,1223216
12,2486950,4963443,66867,54757,147276,312617,264958,123822,1170306,20180891
12,2417396,4824449,75829,55414,152185,345970,235448,129613,1162972,16224186
12,2444496,4878979,69852,58540,145694,253065,228824,134001,1160698,1200042
12,2320116,4628402,71851,61896,158227,273303,280428,139933,1216182,19885757
12,2408783,4803904,75266,58379,147707,280697,224970,133691,1161079,19390617
12,1764530,3521578,98486,73938,167825,2965054,310825,167555,1208869,48906735
12,2209854,4412403,76676,58430,155502,863670,224087,129352,1158154,18442889
12,2357334,4705368,74029,61265,157075,1134499,199425,136752,1159255,1414735
12,2333353,4657359,71558,58349,156493,1093161,197795,129523,1181367,3072606
12,2258391,4507812,76817,62682,161293,1322392,219890,140924,1188440,4827429
12,2489100,4968574,66919,57658,146996,262422,199629,132083,1165217,1225740
12,1963022,3917544,96271,63744,163817,16905965,219453,147481,1195052,1255025
12,2235305,4463000,81161,67456,161944,414858,247831,150477,1210932,19054055
12,2413606,4817827,73437,59421,150954,291647,237311,131762,1178291,19677476
12,2470433,4930612,73746,55675,151294,2448706,234711,129754,1187779,13648913
12,2497956,4985148,65526,55635,142798,242846,194993,128902,1147463,1322592
12,2514841,5018941,68622,56005,138109,269686,199445,125275,1160067,1196214
12,2140204,4271033,89091,59301,159369,19059577,259418,134963,1177339,20192672
12,2005017,4002604,87924,80852,167324,246262,246355,173115,1168894,9177922
12,2117753,4228170,82906,73613,161743,222448,208030,159830,1166449,1231601
12,2067122,4123818,85376,73087,167635,817685,265518,161788,1188060,19252879
12,2405713,4799598,70999,55765,146685,655550,262008,130169,1170596,19954546
