threads,ops,throughput,get_avg,get_p50,get_p99,get_p999,put_avg,put_p50,put_p99,put_p999
12,1544108,3073177,164881,55369,144992,254157,115669,107572,273322,403497
12,2203286,4392672,82763,77831,167484,198893,184417,166502,283712,332344
12,2026958,4037223,89057,86833,173455,198452,179321,178585,292269,357500
12,2025075,4034477,89270,86933,173245,200346,178383,178164,276319,306675
12,2023630,4031735,91401,85706,173175,204724,178387,177363,295214,340159
12,2387830,4757440,75843,72055,164349,199735,163677,164163,277791,321604
12,2190612,4362079,84286,78517,167885,199434,169245,168791,288671,311485
12,2448168,4876410,72466,68549,161723,196499,177001,159289,281909,735700
12,2135810,4252738,86197,82084,171362,198472,176528,174678,280356,376898
12,2194712,4371744,81980,78949,168627,193493,168120,168416,282279,333657
12,2026987,4037385,91237,86802,172674,200106,180508,181841,291787,325581
12,2021997,4028403,90742,86442,172774,201528,178514,179126,290515,335209
12,2026181,4036853,90932,86502,174096,202520,180210,179482,291967,326483
12,2198331,4379525,83344,78878,168476,196489,169123,168345,287279,300334
12,2027313,4038035,90958,86472,170931,201618,177107,174036,285185,357711
12,2036575,4057478,91785,87514,173926,201298,182132,181260,288250,318969
12,2026117,4039012,90207,88346,172985,203682,180744,180549,289894,315772
12,2020194,4030760,89284,86562,171883,197551,178529,179021,300304,355918
12,2037262,4064894,83525,78147,172594,296456,217481,164935,1146431,2291880
12,2475031,4938164,68582,56366,154951,433945,229898,128726,1182730,19734373
12,2480490,4945389,70842,54001,151775,1324696,227112,127629,1163073,19498329
12,2513426,5011917,65958,54121,150542,1149577,201154,125616,1157321,1768138
12,2541198,5067522,71383,52613,140904,1372276,209579,123196,1178582,2467410
12,2501475,4988201,69899,54242,147597,1081399,238195,126798,1164966,19715908
12,2513794,5013014,65463,55058,145313,390242,233015,127800,1179283,19796769
12,2351499,4689241,77240,53550,160391,7501296,240779,126016,1194942,9292287
12,2493043,4972489,70231,56185,147907,419457,217472,125055,1166549,14690848
12,2516758,5018848,68609,54632,149230,838944,221301,125736,1168864,19779387
12,2541700,5068419,68551,54652,144170,550032,219126,126988,1162993,2140286
12,2462694,4910935,68812,55204,146124,564008,203136,128101,1152292,1271386
12,2298387,4583490,70455,55253,153979,1244936,243023,124769,1164765,16164563
12,2442418,4871957,69008,55023,156804,1846435,224834,125806,1240809,9618219
12,2504881,4993050,73528,56887,155982,1254424,204066,131777,1180084,1976208
12,2514229,5008650,73386,56756,147958,1298757,229796,132688,1166609,17588936
12,2504870,4994795,69209,55184,148178,1023661,214272,129733,1161510,1899725
12,2548609,5082330,69892,54362,147767,362470,213201,124318,1159516,7932896
12,2493764,4972537,68363,52143,150433,2352694,274037,127950,1248833,20204344
12,2448422,4882630,75525,54462,151414,2675771,229928,129322,1156981,6477154
12,2217803,4422849,76234,56917,153789,840147,220343,135083,1154246,3020819
12,2020996,4031097,89890,62257,169949,3088365,294277,141200,1236952,29964781
12,2033386,4056926,82630,73232,166562,2399262,256863,165862,1226782,11218242
12,2113454,4216675,87414,69696,171622,3035326,243603,153803,1202366,4291624
12,2360866,4710064,72809,59442,156454,622207,236671,136291,1200242,19202635
12,2523866,5033875,72582,55594,144672,282530,195440,130565,1163724,1293969
12,2443761,4873256,71680,54702,148839,2972468,221632,129237,1176057,4184452
12,2405889,4798161,69058,55474,154039,3527991,233050,129573,1189442,15064739
12,2520220,5026308,69070,54102,154811,757422,187368,123877,1165988,4276645
12,2453060,4891918,66372,54221,148538,378631,214741,125075,1164245,4489104
12,2459446,4904968,68905,55604,145103,303019,234849,127589,1149146,19421576
12,2205850,4397309,77940,58289,162756,4575807,288608,133030,1346227,19696070
12,2185563,4355788,77469,61175,154610,3885721,259141,140684,1391922,13392221
12,2368551,4725048,71037,57588,151724,3567024,213971,133275,1191556,5055387
12,2433283,4852518,72386,57147,144752,320822,212938,130765,1171869,5105851
12,2375317,4737016,74414,56466,159660,4725258,243739,129152,1219979,6033262
12,2437534,4861585,71176,58370,152316,344657,204892,133621,1162572,1875810
12,2133490,4253792,82494,63920,167254,5148241,271505,143744,3882807,6465633
12,2006401,4002857,86576,61976,154320,4188560,377696,139261,1188871,63045147
12,1744842,3481122,90478,72456,164699,912433,312456,165195,1227774,62206774
12,2022391,4036170,76668,66104,163306,993284,263756,146876,1207647,13803303
12,2389779,4768239,69063,54973,152767,1254094,246830,129207,1303025,19855109
12,2182384,4351751,80856,61665,159880,5664419,253458,145423,1204380,5746915
12,2017987,4025704,84086,72957,169027,5376118,242700,163637,1201324,6056706
12,2455666,4899790,71732,56155,143459,330801,230766,125655,1163223,19944376
12,2262723,4512590,71860,57518,156844,5751423,258315,131186,1276015,19334291
12,2111788,4212432,81351,73487,166282,539983,224438,158298,1216653,6255949
12,2280999,4550647,74029,58229,164378,6352992,277245,136356,1186516,20034425
12,2323293,4630327,75008,55645,152637,2768315,269006,132168,1185554,19912777
12,2358424,4700431,74957,55244,151364,6412934,277828,129012,1182549,20295275
12,2426248,4838899,73725,57598,153127,1175877,237516,130746,1165947,19154785
12,2531981,5049305,76435,55744,153408,469211,147843,123211,348775,1771604
12,2524504,5032693,69160,53730,154399,913454,184574,119795,338746,19414101
12,2503868,4992774,68471,58670,148299,294833,195820,127359,358403,19646548
12,2462127,4910068,76830,59061,152086,869231,153405,130876,298730,756830
12,2458410,4902909,73055,59462,144461,260920,150220,127339,308509,445827
12,2497038,4979791,74504,58059,149851,698531,164973,124699,346951,20088547
12,2511320,5008215,74608,56345,149851,1692246,135068,126077,313037,1415236
12,2472326,4930323,73141,57548,156253,1083383,139079,126793,323978,856498
